route_long_name,route_short_name,route_type,agency_id,route_id,route_desc,route_color,route_text_color
Gare Sud ↔ Liberté Adjamé,91,3,monbus,10087961,,1779c2,ffffff
Gare Sud ↔ Yopougon Camp Militaire,37,3,monbus,10173635,,1779c2,ffffff
gbaka : Adjamé Liberté ↔ Treichville Gare de Bassam,,3,Gbaka d'Adjamé,10179006,,1779c2,ffffff
gbaka : Adjamé ↔ Abobo Gare Mairie,,3,Gbaka d'Abobo,10179435,,1779c2,ffffff
gbaka : Adjamé Liberté ↔ Abobo Gare Mairie,,3,Gbaka d'Abobo,10184139,,1779c2,ffffff
gbaka : Abobo Gare Mairie ↔Akeïkoi Village,,3,Gbaka d'Abobo,10184730,,1779c2,ffffff
gbaka : Abobo Gare Mairie ↔ Kennedy Marché,,3,Gbaka d'Abobo,10184964,,1779c2,ffffff
gbaka : Abobo Gare Mairie ↔ Kennedy Mosquée Ado,,3,Gbaka d'Abobo,10185142,,1779c2,ffffff
gbaka : Adjamé gare en haut ↔ Cocody Riviera M'badon,,3,Gbaka d'Adjamé,10185169,,1779c2,ffffff
gbaka : Adjamé gare en haut ↔ Cocody Attoban Camp,,3,Gbaka d'Adjamé,10185403,,1779c2,ffffff
gbaka : Abobo Gare Mairie ↔ Abobo PK 18,,3,Gbaka d'Abobo,10185406,,1779c2,ffffff
Gare Marcory ↔ Attécoubé,04,3,monbus,10187611,,1779c2,ffffff
Terminus 45 Abobo Escalier ↔ Quai 45 Gare Nord SOTRA Adjamé,45,3,monbus,10187867,,1779c2,ffffff
Gendarmerie Abobo ↔ Adjamé Liberté,79,3,monbus / Navette,10189319,,1779c2,ffffff
Gare Marcory ↔ Gare Williamsville,14,3,monbus,10190159,,1779c2,ffffff
Blockauss ↔ Gare Nord,64,3,monbus,10190354,,1779c2,ffffff
Gare Campus Cocody ↔ Abobo Sogefiha,49,3,monbus,10191924,,1779c2,ffffff
Cité Fairmont ↔ Gare Marcory,02,3,monbus,10192143,,1779c2,ffffff
Gare Sud ↔ Yopougon Micao,20,3,monbus,10192153,,1779c2,ffffff
Gare Sud ↔ Niangon Sud à droite,39,3,monbus,10199868,,1779c2,ffffff
Yopougon Phalène ↔ Campus Cocody,85,3,monbus,10200077,,1779c2,ffffff
Terminus Cité Vridi ↔ Gare Marcory,07,3,monbus,10201145,,1779c2,ffffff
Musée du Plateau ↔ Gendarmerie Abobo,54,3,monbus,10206110,,1779c2,ffffff
Abobo Doumé ↔ Yopougon Sideci,42,3,monbus,10206969,,1779c2,ffffff
CHU Angré ↔ Gendarmerie Abobo,611,3,monbus / Navette,10206986,,1779c2,ffffff
Gare Nord ↔ Blockauss,84,3,monbus,10211372,,1779c2,ffffff
Saint André ↔ Hôtel de Ville,206,3,Express,10211655,,1779c2,ffffff
Chu Angré ↔ Blockauss,90,3,monbus,10211824,,1779c2,ffffff
Yopougon Attié ↔ Abobo Doumé,47,3,monbus,10212284,,1779c2,ffffff
Gare Sud ↔ Niangon Sud à gauche,27,3,monbus,10212293,,1779c2,ffffff
Gare Sud ↔ Yopougon Kouté,30,3,monbus,10212448,,1779c2,ffffff
Gare Marcory ↔ Blockauss,94,3,Wibus,10213167,,1779c2,ffffff
Gare Sud ↔ Yopougon Kouté,40,3,monbus,10213431,,1779c2,ffffff
