trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
0,06:00:00,06:00:00,node/6907157794,1,,,,,
0,06:02:06,06:02:06,node/6908914491,2,,,,,
0,06:06:14,06:06:14,node/2444131222,3,,,,,
0,06:11:04,06:11:04,node/6913974340,4,,,,,
0,06:14:21,06:14:21,node/6195348341,5,,,,,
0,06:15:32,06:15:32,node/6905719606,6,,,,,
0,06:18:34,06:18:34,node/6905719607,7,,,,,
0,06:20:14,06:20:14,node/6474137980,8,,,,,
0,06:23:04,06:23:04,node/6474137979,9,,,,,
0,06:25:00,06:25:00,node/6474138999,10,,,,,
1,06:00:00,06:00:00,node/6831076682,1,,,,,
1,06:03:39,06:03:39,node/6904171076,2,,,,,
1,06:05:38,06:05:38,node/6904171075,3,,,,,
1,06:07:29,06:07:29,node/6904171074,4,,,,,
1,06:09:35,06:09:35,node/6831076678,5,,,,,
1,06:11:26,06:11:26,node/6831076677,6,,,,,
1,06:13:54,06:13:54,node/6913931703,7,,,,,
1,06:25:00,06:25:00,node/6906596960,8,,,,,
2,06:00:00,06:00:00,node/6933128810,1,,,,,
2,06:02:58,06:02:58,node/6932152400,2,,,,,
2,06:05:16,06:05:16,node/6933128808,3,,,,,
2,06:06:43,06:06:43,node/6933128807,4,,,,,
2,06:08:18,06:08:18,node/6912805213,5,,,,,
2,06:10:27,06:10:27,node/6912805212,6,,,,,
2,06:12:29,06:12:29,node/6912805211,7,,,,,
2,06:14:13,06:14:13,node/6912805210,8,,,,,
2,06:15:40,06:15:40,node/6910703475,9,,,,,
2,06:19:14,06:19:14,node/6910703474,10,,,,,
2,06:21:11,06:21:11,node/6910703473,11,,,,,
2,06:24:25,06:24:25,node/6913857608,12,,,,,
2,06:46:58,06:46:58,node/6474138987,13,,,,,
2,06:50:21,06:50:21,node/6474138986,14,,,,,
2,06:52:12,06:52:12,node/6474138985,15,,,,,
2,06:53:17,06:53:17,node/6905719605,16,,,,,
2,06:54:49,06:54:49,node/6474137984,17,,,,,
2,06:56:11,06:56:11,node/6474137983,18,,,,,
2,06:59:12,06:59:12,node/6474137982,19,,,,,
2,07:02:08,07:02:08,node/6474137981,20,,,,,
2,07:05:35,07:05:35,node/6905772460,21,,,,,
2,07:07:47,07:07:47,node/6905772459,22,,,,,
2,07:08:52,07:08:52,node/6905719607,23,,,,,
2,07:10:27,07:10:27,node/6474137980,24,,,,,
2,07:13:10,07:13:10,node/6474137979,25,,,,,
2,07:15:00,07:15:00,node/6474138999,26,,,,,
3,06:00:00,06:00:00,node/6933043359,1,,,,,
3,06:03:54,06:03:54,node/6904171076,2,,,,,
3,06:05:54,06:05:54,node/6904171075,3,,,,,
3,06:07:53,06:07:53,node/6905842307,4,,,,,
3,06:09:44,06:09:44,node/6474137958,5,,,,,
3,06:11:54,06:11:54,node/6474137956,6,,,,,
3,06:13:34,06:13:34,node/6905772461,7,,,,,
3,06:16:25,06:16:25,node/6904171072,8,,,,,
3,06:19:37,06:19:37,node/6474137954,9,,,,,
3,06:22:30,06:22:30,node/6474137952,10,,,,,
3,06:24:46,06:24:46,node/6904171070,11,,,,,
3,06:26:03,06:26:03,node/6474137950,12,,,,,
3,06:29:51,06:29:51,node/6474137948,13,,,,,
3,06:30:18,06:30:18,node/6909225544,14,,,,,
3,06:54:19,06:54:19,node/6910743313,15,,,,,
3,06:57:27,06:57:27,node/6910743314,16,,,,,
3,07:00:49,07:00:49,node/6910743312,17,,,,,
3,07:04:33,07:04:33,node/6913190455,18,,,,,
3,07:06:02,07:06:02,node/6913190454,19,,,,,
3,07:08:59,07:08:59,node/6913190453,20,,,,,
3,07:11:00,07:11:00,node/6913190452,21,,,,,
3,07:12:34,07:12:34,node/6933043357,22,,,,,
3,07:14:11,07:14:11,node/6933043356,23,,,,,
3,07:16:19,07:16:19,node/6933043355,24,,,,,
3,07:18:25,07:18:25,node/6933043354,25,,,,,
3,07:20:00,07:20:00,node/6933043352,26,,,,,
4,06:00:00,06:00:00,node/6899034710,1,,,,,
4,06:22:37,06:22:37,node/6899034709,2,,,,,
4,06:24:05,06:24:05,node/6899034708,3,,,,,
4,06:26:12,06:26:12,node/6899034707,4,,,,,
4,06:28:42,06:28:42,node/6899034706,5,,,,,
4,06:30:00,06:30:00,node/6899034705,6,,,,,
5,06:00:00,06:00:00,node/6899053349,1,,,,,
5,06:04:37,06:04:37,node/6899053348,2,,,,,
5,06:11:54,06:11:54,node/6899053347,3,,,,,
5,06:23:50,06:23:50,node/6899053346,4,,,,,
5,06:25:00,06:25:00,node/6899053345,5,,,,,
6,06:00:00,06:00:00,node/6899241577,1,,,,,
6,06:20:00,06:20:00,node/6899241573,2,,,,,
7,06:00:00,06:00:00,node/6899264973,1,,,,,
7,06:38:04,06:38:04,node/6899264972,2,,,,,
7,06:40:32,06:40:32,node/6899264971,3,,,,,
7,06:45:00,06:45:00,node/6899264970,4,,,,,
8,06:00:00,06:00:00,node/6902639012,1,,,,,
8,06:05:27,06:05:27,node/6902639011,2,,,,,
8,06:09:46,06:09:46,node/6902639010,3,,,,,
8,06:13:56,06:13:56,node/6902638994,4,,,,,
8,06:16:38,06:16:38,node/6902639009,5,,,,,
8,06:17:53,06:17:53,node/6902639008,6,,,,,
8,06:19:01,06:19:01,node/6902639007,7,,,,,
8,06:22:09,06:22:09,node/6902639006,8,,,,,
8,06:24:18,06:24:18,node/6902639005,9,,,,,
8,06:25:46,06:25:46,node/6902638993,10,,,,,
8,06:26:09,06:26:09,node/6902639004,11,,,,,
8,06:27:12,06:27:12,node/6902639003,12,,,,,
8,06:28:02,06:28:02,node/6902639002,13,,,,,
8,06:28:51,06:28:51,node/6902639001,14,,,,,
8,06:31:07,06:31:07,node/6902639000,15,,,,,
8,06:31:35,06:31:35,node/6902638999,16,,,,,
8,06:32:00,06:32:00,node/6902638998,17,,,,,
8,06:33:57,06:33:57,node/6902638997,18,,,,,
8,06:34:27,06:34:27,node/6902638992,19,,,,,
8,06:35:16,06:35:16,node/6902638991,20,,,,,
8,06:36:33,06:36:33,node/6902638990,21,,,,,
8,06:37:30,06:37:30,node/6902638996,22,,,,,
8,06:38:36,06:38:36,node/6902638989,23,,,,,
8,06:39:44,06:39:44,node/6902638988,24,,,,,
8,06:40:00,06:40:00,node/6902638995,25,,,,,
9,06:00:00,06:00:00,node/6902868245,1,,,,,
9,06:01:41,06:01:41,node/6902868224,2,,,,,
9,06:02:49,06:02:49,node/6902868225,3,,,,,
9,06:04:02,06:04:02,node/6902868226,4,,,,,
9,06:06:10,06:06:10,node/6902868244,5,,,,,
9,06:11:38,06:11:38,node/6902868227,6,,,,,
9,06:12:35,06:12:35,node/6902868228,7,,,,,
9,06:13:33,06:13:33,node/6902868229,8,,,,,
9,06:14:45,06:14:45,node/6902868230,9,,,,,
9,06:15:13,06:15:13,node/6902868231,10,,,,,
9,06:17:00,06:17:00,node/6902868232,11,,,,,
9,06:19:22,06:19:22,node/6902868233,12,,,,,
9,06:21:06,06:21:06,node/6902868243,13,,,,,
9,06:22:51,06:22:51,node/6902868234,14,,,,,
9,06:24:05,06:24:05,node/6902868235,15,,,,,
9,06:25:35,06:25:35,node/6902868236,16,,,,,
9,06:28:03,06:28:03,node/6902868242,17,,,,,
9,06:30:12,06:30:12,node/6902868241,18,,,,,
9,06:33:40,06:33:40,node/6902868237,19,,,,,
9,06:37:13,06:37:13,node/6902868240,20,,,,,
9,06:38:13,06:38:13,node/6902868238,21,,,,,
9,06:39:37,06:39:37,node/6902868239,22,,,,,
9,06:42:29,06:42:29,node/6899264972,23,,,,,
9,06:45:00,06:45:00,node/6899264971,24,,,,,
10,06:00:00,06:00:00,node/6902975757,1,,,,,
10,06:16:22,06:16:22,node/6902975756,2,,,,,
10,06:17:27,06:17:27,node/6902975755,3,,,,,
10,06:24:26,06:24:26,node/6902975754,4,,,,,
10,06:28:24,06:28:24,node/6902975747,5,,,,,
10,06:29:28,06:29:28,node/6902975753,6,,,,,
10,06:31:24,06:31:24,node/6902975752,7,,,,,
10,06:33:04,06:33:04,node/6902975751,8,,,,,
10,06:34:17,06:34:17,node/6902975750,9,,,,,
10,06:38:12,06:38:12,node/6902975749,10,,,,,
10,06:40:00,06:40:00,node/6902975748,11,,,,,
11,06:00:00,06:00:00,node/6903097505,1,,,,,
11,06:00:56,06:00:56,node/6903097504,2,,,,,
11,06:03:57,06:03:57,node/6903097503,3,,,,,
11,06:04:51,06:04:51,node/6903084143,4,,,,,
11,06:05:56,06:05:56,node/6903084142,5,,,,,
11,06:07:23,06:07:23,node/6903084141,6,,,,,
11,06:08:10,06:08:10,node/6903097502,7,,,,,
11,06:08:54,06:08:54,node/6903097501,8,,,,,
11,06:10:54,06:10:54,node/6903193217,9,,,,,
11,06:13:21,06:13:21,node/6903193216,10,,,,,
11,06:16:30,06:16:30,node/6903097494,11,,,,,
11,06:17:01,06:17:01,node/6903097500,12,,,,,
11,06:19:24,06:19:24,node/6903097499,13,,,,,
11,06:20:39,06:20:39,node/6903097498,14,,,,,
11,06:24:57,06:24:57,node/6903097497,15,,,,,
11,06:28:28,06:28:28,node/6903097496,16,,,,,
11,06:30:00,06:30:00,node/6903097495,17,,,,,
12,06:00:00,06:00:00,node/6903268820,1,,,,,
12,06:07:06,06:07:06,node/6903374200,2,,,,,
12,06:10:27,06:10:27,node/6903374202,3,,,,,
12,06:12:25,06:12:25,node/6903296478,4,,,,,
12,06:16:20,06:16:20,node/6903296482,5,,,,,
12,06:19:18,06:19:18,node/6903296481,6,,,,,
12,06:20:00,06:20:00,node/6903296480,7,,,,,
13,06:00:00,06:00:00,node/6903268822,1,,,,,
13,06:02:49,06:02:49,node/6903296479,2,,,,,
13,06:05:24,06:05:24,node/6903296477,3,,,,,
13,06:06:43,06:06:43,node/6903374201,4,,,,,
13,06:09:13,06:09:13,node/6903268821,5,,,,,
13,06:10:45,06:10:45,node/6903296476,6,,,,,
13,06:12:45,06:12:45,node/6903097496,7,,,,,
13,06:15:00,06:15:00,node/6903268819,8,,,,,
14,06:00:00,06:00:00,node/6903268820,1,,,,,
14,06:10:39,06:10:39,node/6903504058,2,,,,,
14,06:12:52,06:12:52,node/6903504060,3,,,,,
14,06:14:04,06:14:04,node/6903397407,4,,,,,
14,06:16:21,06:16:21,node/6903397406,5,,,,,
14,06:17:19,06:17:19,node/6903397405,6,,,,,
14,06:18:36,06:18:36,node/6903397404,7,,,,,
14,06:20:00,06:20:00,node/6903397403,8,,,,,
15,06:00:00,06:00:00,node/6903397403,1,,,,,
15,06:05:21,06:05:21,node/6903504062,2,,,,,
15,06:08:44,06:08:44,node/6903504061,3,,,,,
15,06:10:11,06:10:11,node/6903504059,4,,,,,
15,06:13:31,06:13:31,node/6903406998,5,,,,,
15,06:15:55,06:15:55,node/6903406997,6,,,,,
15,06:27:06,06:27:06,node/6902638988,7,,,,,
15,06:30:00,06:30:00,node/6903268819,8,,,,,
16,06:00:00,06:00:00,node/6903370485,1,,,,,
16,06:46:54,06:46:54,node/6903347584,2,,,,,
16,06:49:06,06:49:06,node/6903347583,3,,,,,
16,06:50:04,06:50:04,node/6903347582,4,,,,,
16,06:53:59,06:53:59,node/6903347581,5,,,,,
16,06:55:47,06:55:47,node/6903347580,6,,,,,
16,06:58:43,06:58:43,node/6903347579,7,,,,,
16,07:02:37,07:02:37,node/6903347578,8,,,,,
16,07:02:51,07:02:51,node/6903347577,9,,,,,
16,07:03:42,07:03:42,node/6903347576,10,,,,,
16,07:04:20,07:04:20,node/6903347575,11,,,,,
16,07:05:00,07:05:00,node/6903347574,12,,,,,
17,06:00:00,06:00:00,node/6903347574,1,,,,,
17,06:00:58,06:00:58,node/6903544090,2,,,,,
17,06:34:46,06:34:46,node/6903544089,3,,,,,
17,06:40:06,06:40:06,node/6903544088,4,,,,,
17,06:42:41,06:42:41,node/6903544087,5,,,,,
17,06:43:55,06:43:55,node/6903535584,6,,,,,
17,06:44:12,06:44:12,node/6899264970,7,,,,,
17,06:45:00,06:45:00,node/6903544086,8,,,,,
18,06:00:00,06:00:00,node/7056198868,1,,,,,
18,06:03:06,06:03:06,node/6903968407,2,,,,,
18,06:04:12,06:04:12,node/6903968408,3,,,,,
18,06:20:46,06:20:46,node/6903544089,4,,,,,
18,06:28:11,06:28:11,node/6903544088,5,,,,,
18,06:31:47,06:31:47,node/6903544087,6,,,,,
18,06:33:30,06:33:30,node/6903535584,7,,,,,
18,06:33:53,06:33:53,node/6899264970,8,,,,,
18,06:35:00,06:35:00,node/6903544086,9,,,,,
19,06:00:00,06:00:00,node/6903639376,1,,,,,
19,06:33:20,06:33:20,node/6903639375,2,,,,,
19,06:34:01,06:34:01,node/6903639374,3,,,,,
19,06:35:23,06:35:23,node/6903639373,4,,,,,
19,06:37:42,06:37:42,node/6903639372,5,,,,,
19,06:39:16,06:39:16,node/6903639371,6,,,,,
19,06:39:55,06:39:55,node/6903639370,7,,,,,
19,06:40:29,06:40:29,node/6903639369,8,,,,,
19,06:41:37,06:41:37,node/6903639368,9,,,,,
19,06:43:36,06:43:36,node/6903639367,10,,,,,
19,06:45:00,06:45:00,node/6903639366,11,,,,,
20,06:00:00,06:00:00,node/6903525066,1,,,,,
20,06:02:43,06:02:43,node/6903602207,2,,,,,
20,06:05:10,06:05:10,node/6903602208,3,,,,,
20,06:07:32,06:07:32,node/6903602209,4,,,,,
20,06:08:05,06:08:05,node/6903525065,5,,,,,
20,06:09:32,06:09:32,node/6903602210,6,,,,,
20,06:10:22,06:10:22,node/6903525064,7,,,,,
20,06:12:21,06:12:21,node/6903525063,8,,,,,
20,06:13:33,06:13:33,node/6903525062,9,,,,,
20,06:14:44,06:14:44,node/6903602211,10,,,,,
20,06:18:03,06:18:03,node/6903525055,11,,,,,
20,06:20:28,06:20:28,node/6903525061,12,,,,,
20,06:21:47,06:21:47,node/6903525060,13,,,,,
20,06:23:49,06:23:49,node/6903525059,14,,,,,
20,06:25:00,06:25:00,node/6903602212,15,,,,,
21,06:00:00,06:00:00,node/6903602224,1,,,,,
21,06:00:23,06:00:23,node/6903602223,2,,,,,
21,06:01:26,06:01:26,node/6903525058,3,,,,,
21,06:03:15,06:03:15,node/6903602222,4,,,,,
21,06:03:46,06:03:46,node/6903525057,5,,,,,
21,06:04:49,06:04:49,node/6903525056,6,,,,,
21,06:07:18,06:07:18,node/6903525054,7,,,,,
21,06:09:07,06:09:07,node/6903602221,8,,,,,
21,06:10:32,06:10:32,node/6903602220,9,,,,,
21,06:11:49,06:11:49,node/6903525053,10,,,,,
21,06:13:04,06:13:04,node/6903525052,11,,,,,
21,06:14:46,06:14:46,node/6903602219,12,,,,,
21,06:15:43,06:15:43,node/6903602218,13,,,,,
21,06:17:06,06:17:06,node/6903525051,14,,,,,
21,06:17:43,06:17:43,node/6903602217,15,,,,,
21,06:20:02,06:20:02,node/6903602216,16,,,,,
21,06:22:18,06:22:18,node/6903602215,17,,,,,
21,06:22:38,06:22:38,node/6903602214,18,,,,,
21,06:25:00,06:25:00,node/6903602213,19,,,,,
22,06:00:00,06:00:00,node/6905719625,1,,,,,
22,06:03:14,06:03:14,node/6905719624,2,,,,,
22,06:05:06,06:05:06,node/6905719623,3,,,,,
22,06:08:06,06:08:06,node/6905719622,4,,,,,
22,06:14:19,06:14:19,node/6905719621,5,,,,,
22,06:16:28,06:16:28,node/6905719620,6,,,,,
22,06:21:57,06:21:57,node/6474138986,7,,,,,
22,06:24:58,06:24:58,node/6474138985,8,,,,,
22,06:26:43,06:26:43,node/6905719605,9,,,,,
22,06:29:14,06:29:14,node/6474137984,10,,,,,
22,06:31:27,06:31:27,node/6474137983,11,,,,,
22,06:43:58,06:43:58,node/6195348341,12,,,,,
22,06:45:49,06:45:49,node/6905719606,13,,,,,
