route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id
29,1,1,AB001T1,AB001T1,1
34,1,2,AB003T1,AB003T1,2
36,1,3,AB004T1,AB004T1,3
41,1,4,AB006T1,AB006T1,4
49,1,5,AB009T1,AB009T1,5
53,1,6,AB010T1,AB010T1,6
60,1,7,AB014T1,AB014T1,7
62,1,8,AB015T1,AB015T1,8
65,1,9,AB017T1,AB017T1,9
68,1,10,AB018T1,AB018T1,10
70,1,11,AB019T1,AB019T1,11
30,1,19,AB031T1,AB031T1,19
76,1,12,AB021T1,AB021T1,12
78,1,13,AB022T1,AB022T1,13
84,1,14,AB025T1,AB025T1,14
88,1,15,AB027T1,AB027T1,15
95,1,16,AB028T1,AB028T1,16
96,1,17,AB029T1,AB029T1,17
98,1,18,AB030T1,AB030T1,18
99,1,20,AB032T1,AB032T1,20
35,1,21,AB033T1,AB033T1,21
37,1,22,AB034T1,AB034T1,22
42,1,23,AB036T1,AB036T1,23
44,1,24,AB037T1,AB037T1,24
47,1,25,AB038T1,AB038T1,25
50,1,26,AB039T1,AB039T1,26
55,1,27,AB041T1,AB041T1,27
63,1,28,AB045T1,AB045T1,28
66,1,29,AB047T1,AB047T1,29
69,1,30,AB048T1,AB048T1,30
71,1,31,AB049T1,AB049T1,31
67,1,45,AB077T1,AB077T1,45
74,1,32,AB050T1,AB050T1,32
61,1,63,AB104T1,AB104T1,63
85,1,33,AB055T1,AB055T1,33
86,1,34,AB056T1,AB056T1,34
89,1,35,AB057T1,AB057T1,35
92,1,36,AB058T1,AB058T1,36
31,1,37,AB061T1,AB061T1,37
77,1,38,AB062T1,AB062T1,38
38,1,39,AB064T1,AB064T1,39
43,1,40,AB066T1,AB066T1,40
45,1,41,AB067T1,AB067T1,41
48,1,42,AB068T1,AB068T1,42
51,1,43,AB069T1,AB069T1,43
56,1,44,AB071T1,AB071T1,44
72,1,46,AB079T1,AB079T1,46
79,1,47,AB082T1,AB082T1,47
81,1,48,AB083T1,AB083T1,48
82,1,49,AB084T1,AB084T1,49
87,1,50,AB086T1,AB086T1,50
90,1,51,AB087T1,AB087T1,51
93,1,52,AB088T1,AB088T1,52
97,1,53,AB089T1,AB089T1,53
100,1,54,AB090T1,AB090T1,54
32,1,55,AB091T1,AB091T1,55
94,1,56,AB092T1,AB092T1,56
39,1,57,AB094T1,AB094T1,57
46,1,58,AB097T1,AB097T1,58
52,1,59,AB099T1,AB099T1,59
54,1,60,AB100T1,AB100T1,60
57,1,61,AB101T1,AB101T1,61
59,1,62,AB102T1,AB102T1,62
64,1,64,AB106T1,AB106T1,64
73,1,65,AB109T1,AB109T1,65
75,1,66,AB110T1,AB110T1,66
80,1,67,AB112T1,AB112T1,67
83,1,68,AB114T1,AB114T1,68
91,1,69,AB117T1,AB117T1,69
33,1,70,AB121T1,AB121T1,70
29,1,370,AB001T2,AB001T2,370
34,1,371,AB003T2,AB003T2,371
36,1,372,AB004T2,AB004T2,372
41,1,373,AB006T2,AB006T2,373
49,1,374,AB009T2,AB009T2,374
53,1,375,AB010T2,AB010T2,375
58,1,376,AB012T2,AB012T2,376
60,1,377,AB014T2,AB014T2,377
62,1,378,AB015T2,AB015T2,378
65,1,379,AB017T2,AB017T2,379
68,1,380,AB018T2,AB018T2,380
76,1,381,AB021T2,AB021T2,381
78,1,382,AB022T2,AB022T2,382
84,1,383,AB025T2,AB025T2,383
88,1,384,AB027T2,AB027T2,384
95,1,385,AB028T2,AB028T2,385
96,1,386,AB029T2,AB029T2,386
30,1,387,AB031T2,AB031T2,387
71,1,396,AB049T2,AB049T2,396
99,1,388,AB032T2,AB032T2,388
35,1,389,AB033T2,AB033T2,389
42,1,390,AB036T2,AB036T2,390
44,1,391,AB037T2,AB037T2,391
50,1,392,AB039T2,AB039T2,392
55,1,393,AB041T2,AB041T2,393
66,1,394,AB047T2,AB047T2,394
69,1,395,AB048T2,AB048T2,395
74,1,397,AB050T2,AB050T2,397
85,1,398,AB055T2,AB055T2,398
86,1,399,AB056T2,AB056T2,399
89,1,400,AB057T2,AB057T2,400
92,1,401,AB058T2,AB058T2,401
77,1,402,AB062T2,AB062T2,402
38,1,403,AB064T2,AB064T2,403
43,1,404,AB066T2,AB066T2,404
45,1,405,AB067T2,AB067T2,405
48,1,406,AB068T2,AB068T2,406
51,1,407,AB069T2,AB069T2,407
67,1,409,AB077T2,AB077T2,409
56,1,408,AB071T2,AB071T2,408
72,1,410,AB079T2,AB079T2,410
79,1,411,AB082T2,AB082T2,411
81,1,412,AB083T2,AB083T2,412
82,1,413,AB084T2,AB084T2,413
87,1,414,AB086T2,AB086T2,414
90,1,415,AB087T2,AB087T2,415
93,1,416,AB088T2,AB088T2,416
97,1,417,AB089T2,AB089T2,417
100,1,418,AB090T2,AB090T2,418
94,1,419,AB092T2,AB092T2,419
39,1,420,AB094T2,AB094T2,420
46,1,421,AB097T2,AB097T2,421
52,1,422,AB099T2,AB099T2,422
57,1,424,AB101T2,AB101T2,424
54,1,423,AB100T2,AB100T2,423
59,1,425,AB102T2,AB102T2,425
61,1,426,AB104T2,AB104T2,426
64,1,427,AB106T2,AB106T2,427
73,1,428,AB109T2,AB109T2,428
75,1,429,AB110T2,AB110T2,429
83,1,430,AB114T2,AB114T2,430
91,1,431,AB117T2,AB117T2,431
33,1,432,AB121T2,AB121T2,432
40,1,433,AB124T2,AB124T2,433
