route_id,agency_id,route_short_name,route_long_name,route_type
119,3,TX032,መሳለሚያ - በከፍተኛ 7 ት/ቤት - መድሀኒዓለም ት/ቤት,3
222,3,TX213,ቤለር - ቤለር - ካዛንችስ ቶታል,3
124,3,TX040,መርካቶ አመዴ - በመሳለሚያ - ኮ/ድልድይ,3
125,3,TX041,መርካቶ አመዴ - በጣቢያ - አጠና ተራ,3
126,3,TX043,መርካቶ አመዴ - በ18 ማዞሪያ - ልኳንዳ,3
100,3,TX001,18 ኖክ - 18 ማዞሪያ - ፒያሣ ,3
101,3,TX002,3 ቁጥር ማዞሪያ  - ፋንቱ የገበያ አዳራሽ ፊት ለፊ - ቄራ,3
102,3,TX005,4ኪሎ - ዮሴፍ - ቃሊቲ መናኻሪያ,3
103,3,TX006,4ኪሎ ስላሴ ኮሌጅ - መገናኛ - ኮተቤ ካራ,3
127,3,TX044,መርካቶ አመዴ - በመሳለሚያ - ከፍተኛ 7 ት/ቤት ታይዋን መገንጠያ,3
131,3,TX048,መርካቶ አመዴ - በመሳለሚያ  - ኮልፌ/ድልድይ /ሳይሻገር,3
105,3,TX008,6ኪሎ  ዩኒቨርስቲ - ቀበና ድልድይ - መገናኛ ዲያስፖራ,3
106,3,TX012,ሃና ማርያም -  - አሸዋ መሸጫ,3
109,3,TX016,ሆላንድ ኤምባሲ - የሺ ደበሌ - ወይብላ ማሪያም ,3
110,3,TX017,ለቡ መ/ኃይል - ኖክ ማደያ - ፉሪ,3
134,3,TX052,መርካቶ አመዴ -  - በአ/ሚካኤል,3
137,3,TX060,መካኒሳ  - ብስራት ኤፍ ሜ  - ሜክሲኮ,3
345,3,TX423,ጎፋ ገብርኤል  - ብሔረፅጌ - አደይ አበባ,3
223,3,TX215,ቤቴል  - የኢትዮዽያ ንግድ ባንክ ልደታ ቅርንጫፍ - ስቴዲየም ,3
309,3,TX367,ኳስ ሜዳ - በአውቶቢስ ተራ - ሲኒማ ራስ,3
312,3,TX374,ወርቁ ሰፈር - በማሰልጠኛ -  አዲስ ጎማ,3
188,3,TX152,ሳሪስ አቦ  - በቡልቡላ ቀበሌ -  ማርያም ማዞሪያ ,3
226,3,TX225,ቦሌ ሚካኤል - ማሞ - ሳሪስ አቦ,3
233,3,TX232,ቦሌ ድልድይ  - ሱር ኮንስትራክሽን ፊት ለፊት  - ስቴዲየም ,3
241,3,TX246,አለም ባንክ - አየር ጤና - ሜክሲኮ,3
189,3,TX153,ሳሪስ አቦ  - በካዲስኮ -  ቦሌ ,3
193,3,TX159,ስቴዲዬም - ዮሴፍ ቤ/ክ - ሳሪስ ሸዋ ዳቦ,3
313,3,TX377,ዊንጌት - በትራፊክ ሰፈር - ጦር ኃይሎች,3
249,3,TX268,አቃቂ መሻለኪያ - በቂሊንጦ ማረሚያ ቤት -  ኮዬ ፈጬ,3
195,3,TX164,ራጉኤል - ደጃች ውቤ - ሽሮሜዳ,3
250,3,TX269,አቃቂ መሻለኪያ - በጥሩነሽ ቤጂንግ - ቂሊንጦ,3
253,3,TX272,አቃቂ ንግድ  - በኬላ - ገላን ከተማ,3
266,3,TX305,አውቶቡስተራ (ዜድ ሙዚቃ ቤት) - በአብነት - ፍርድ ቤት ተሻግሮ,3
116,3,TX026,ልኳንዳ - ፍሪ ዶሮ - ፒያሣ ,3
317,3,TX391,ጀሞ 3 - ለቡ መ/ኃይል - ኃይሌ ጋርመንት,3
104,3,TX007,4ኪሎ ስላሴ ኮሌጅ - ዲያስፖራ ጫፍ - ገብርኤል ማሳለሚያ(ካራ),3
319,3,TX393,ጀሞ መንደር - ኖክ ፉሪ  - ኬንቴሪ,3
107,3,TX014,ሃያ ሁለት/22/ - ፖሊስ ሆስፒታል ጫፍ - ኖክ 18 ማዞሪያ,3
108,3,TX015,ኃይሌ ጋርመንት   - ሜክሲኮ - ጀሞ 3 አደባባይ  ,3
111,3,TX019,ለቡ መ/ኃይል - ናሽናል ሞተርስ - ሜክሲኮ,3
117,3,TX028,መሳለሚያ - በራስ መኮንን - ቱሪስት ሆቴል,3
112,3,TX020,ለገሀር - ሃዊ ሆቴል  - ቃሊቲ መናኸሪያ ,3
113,3,TX021,ለገጣፎ ሚሽን  - ገደራ - ኮተቤ ካራ,3
114,3,TX024,ላፍቶ በላይ - ጎፋ መ/ኃይል - ሜክሲኮ ኬኬር,3
118,3,TX031,መሳለሚያ - በአማኑኤል - ኮካ አደባባይ,3
115,3,TX025,ላፍቶ በላይኛዉ  - መብራት ሃይል  - ሜክሶኮ,3
120,3,TX033,መሳለሚያ - ከጎጃም በረንዳ - አቡነጴጥሮስ አደባባይ ሳይሻገር,3
121,3,TX037,መሳለሚያ - በፒያሳ - ቱሪስት ሆቴል,3
122,3,TX038,መሳለሚያ -  - በአውቶቡስ ተራ,3
123,3,TX039,መርካቶ አመዴ - በኳስ ሜዳ - ፓስተር,3
128,3,TX045,መርካቶ አመዴ - በዊንጌት - ድልድይ ስር መታጠፊያ,3
