trip_id,arrival_time,departure_time,stop_id,stop_sequence
162,06:00:00,06:00:00,TX151T1S13,1
162,06:15:00,06:15:00,TX198T2S6,2
162,06:30:00,06:30:00,TX244T1S9,3

321,06:00:00,06:00:00,TX204T1S11,1
321,06:15:00,06:15:00,TX333T1S2,2
321,06:30:00,06:30:00,TX333T1S3,3

207,06:00:00,06:00:00,TX207T1S1,1
207,06:15:00,06:15:00,TX428T1S3,2
207,06:30:00,06:30:00,TX207T1S5,3
207,06:45:00,06:45:00,TX474T1S6,4
207,07:00:00,07:00:00,TX207T1S6,5
207,07:15:00,07:15:00,TX207T1S7,6

213,06:00:00,06:00:00,TX153T2S10,1
213,06:15:00,06:15:00,TX153T2S6,2
213,06:30:00,06:30:00,TX153T2S7,3
213,06:45:00,06:45:00,TX153T2S8,4
213,07:00:00,07:00:00,TX153T1S8,5

185,06:00:00,06:00:00,TX191T2S13,1
185,06:15:00,06:15:00,TX205T1S4,2
185,06:30:00,06:30:00,TX187T2S4,3
185,06:45:00,06:45:00,TX194T2S5,4
185,07:00:00,07:00:00,TX194T2S8,5
185,07:15:00,07:15:00,TX282T1S9,6

478,06:00:00,06:00:00,TX424T2S7,1

220,06:00:00,06:00:00,TX179T1S10,1
220,06:15:00,06:15:00,TX179T1S10,2
220,06:30:00,06:30:00,TX231T1S4,3
220,06:45:00,06:45:00,TX126T1S7,4
220,07:00:00,07:00:00,TX179T1S9,5

592,06:00:00,06:00:00,TX326T2S6,1

601,06:00:00,06:00:00,TX269T2,1
601,06:15:00,06:15:00,TX268T2S5,2

616,06:00:00,06:00:00,TX312T2S10,1
616,06:15:00,06:15:00,TX191T2S4,2
616,06:30:00,06:30:00,TX305T2S4,3
616,06:45:00,06:45:00,TX201T1S6,4
616,07:00:00,07:00:00,TX308T2S6,5
616,07:15:00,07:15:00,TX308T2S7,6
616,07:30:00,07:30:00,TX305T2S9,7

296,06:00:00,06:00:00,TX162T1S10,1
296,06:15:00,06:15:00,TX162T1S11,2
296,06:30:00,06:30:00,TX162T1S11,3
296,06:45:00,06:45:00,TX162T2S4,4
296,07:00:00,07:00:00,TX307T1S4,5
296,07:15:00,07:15:00,TX307T1S5,6
296,07:30:00,07:30:00,TX162T2S5,7
296,07:45:00,07:45:00,TX162T2S6,8

470,06:00:00,06:00:00,TX183T2S1,1
470,06:15:00,06:15:00,TX183T2S3,2
470,06:30:00,06:30:00,TX183T2S3,3

312,06:00:00,06:00:00,TX570T1S6,1

625,06:00:00,06:00:00,TX467T2S6,1
625,06:15:00,06:15:00,TX424T2S7,2
625,06:30:00,06:30:00,TX424T2S8,3

319,06:00:00,06:00:00,TX328T2S2,1

667,06:00:00,06:00:00,TX308T1S3,1

630,06:00:00,06:00:00,TX328T2S2,1

633,06:00:00,06:00:00,TX331T1S11,1

107,06:00:00,06:00:00,TX128T2S2,1
107,06:15:00,06:15:00,TX453T2S2,2
107,06:30:00,06:30:00,TX453T2S4,3
107,06:45:00,06:45:00,TX128T1S4,4
107,07:00:00,07:00:00,TX453T2S5,5

634,06:00:00,06:00:00,TX204T1S11,1
634,06:15:00,06:15:00,TX333T1S2,2
634,06:30:00,06:30:00,TX333T1S3,3

635,06:00:00,06:00:00,TX335T1S1,1
635,06:15:00,06:15:00,TX335T1S2,2

112,06:00:00,06:00:00,TX168T1S3,1
112,06:15:00,06:15:00,TX283T1S3,2
112,06:30:00,06:30:00,TX472T1S4,3
112,06:45:00,06:45:00,TX168T1S4,4
112,07:00:00,07:00:00,TX467T2S6,5
112,07:15:00,07:15:00,TX455T2S7,6


114,06:00:00,06:00:00,TX424T2S7,1

636,06:00:00,06:00:00,TX141T1S10,1
636,06:15:00,06:15:00,TX198T2S11,2
636,06:30:00,06:30:00,TX205T2S12,3
636,06:45:00,06:45:00,TX201T1S3,4
636,07:00:00,07:00:00,TX282T1S3,5
636,07:15:00,07:15:00,TX187T2S4,6
636,07:30:00,07:30:00,TX205T1S4,7
636,07:45:00,07:45:00,TX282T1S9,8
636,08:00:00,08:00:00,TX191T2S9,9
636,08:15:00,08:15:00,TX198T2S9,10

637,06:00:00,06:00:00,TX123T1S02,1
637,06:15:00,06:15:00,TX123T1S10,2
637,06:30:00,06:30:00,TX338T1S12,3
637,06:45:00,06:45:00,TX123T2S13,4
637,07:00:00,07:00:00,TX338T1S16,5
637,07:15:00,07:15:00,TX123T2S4,6
637,07:30:00,07:30:00,TX123T2S5,7
637,07:45:00,07:45:00,TX338T1S6,8
637,08:00:00,08:00:00,TX338T1S7,9
637,08:15:00,08:15:00,TX338T1S8,10
637,08:30:00,08:30:00,TX470T1S9,11
637,08:45:00,08:45:00,TX123T2S9,12


115,06:00:00,06:00:00,TX283T1S3,1
115,06:15:00,06:15:00,TX168T1S4,2
115,06:30:00,06:30:00,TX472T1S4,3
115,06:45:00,06:45:00,TX285T1S4,4
115,07:00:00,07:00:00,TX467T2S6,5
115,07:15:00,07:15:00,TX455T2S7,6
115,07:30:00,07:30:00,TX455T2S9,7

119,06:00:00,06:00:00,TX424T2S6,1
119,06:15:00,06:15:00,TX467T2S6,2
119,06:30:00,06:30:00,TX424T2S7,3
119,06:45:00,06:45:00,TX424T2S8,4

120,06:00:00,06:00:00,TX244T1S1,1
120,06:15:00,06:15:00,TX455T2S1,2
120,06:30:00,06:30:00,TX424T2S6,3
120,06:45:00,06:45:00,TX467T2S6,4
120,07:00:00,07:00:00,TX424T2S7,5
120,07:15:00,07:15:00,TX424T2S8,6

101,06:00:00,06:00:00,TX472T1S10,1
101,06:15:00,06:15:00,TX174T1S3,2
101,06:30:00,06:30:00,TX443T2S4,3
101,06:45:00,06:45:00,TX210T2S5,4
101,07:00:00,07:00:00,TX472T1S5,5
101,07:15:00,07:15:00,TX168T1S5,6
101,07:30:00,07:30:00,TX294T1S6,7
101,07:45:00,07:45:00,TX168T1S7,8
101,08:00:00,08:00:00,TX472T1S7,9
101,08:15:00,08:15:00,TX283T1S9,10



106,06:00:00,06:00:00,TX183T1S4,1
106,06:15:00,06:15:00,TX307T1S4,2
106,06:30:00,06:30:00,TX183T1S5,3
106,06:45:00,06:45:00,TX307T1S5,4
106,07:00:00,07:00:00,TX183T1S5,5
106,07:15:00,07:15:00,TX183T1S6,6

121,06:00:00,06:00:00,TX424T2S6,1
121,06:15:00,06:15:00,TX467T2S6,2
121,06:30:00,06:30:00,TX424T2S7,3

125,06:00:00,06:00:00,TX424T2S6,1
125,06:15:00,06:15:00,TX467T2S6,2
125,06:30:00,06:30:00,TX424T2S7,3
125,06:45:00,06:45:00,TX424T2S8,4

128,06:00:00,06:00:00,TX314T1S2,1
128,06:15:00,06:15:00,TX443T1S4,2
128,06:30:00,06:30:00,TX308T2S7,3

131,06:00:00,06:00:00,TX128T2S2,1
131,06:15:00,06:15:00,TX453T2S2,2
131,06:30:00,06:30:00,TX453T2S4,3
131,06:45:00,06:45:00,TX128T1S4,4
131,07:00:00,07:00:00,TX453T2S5,5

297,06:00:00,06:00:00,TX183T2S3,1
297,06:15:00,06:15:00,TX183T2S3,2

668,06:00:00,06:00:00,TX183T1S4,1
668,06:15:00,06:15:00,TX183T1S5,2
668,06:30:00,06:30:00,TX183T1S5,3
668,06:45:00,06:45:00,TX183T1S6,4

299,06:00:00,06:00:00,TX308T2,1
299,06:15:00,06:15:00,TX328T2S2,2
299,06:30:00,06:30:00,TX302T1S5,3
299,06:45:00,06:45:00,TX183T1S6,4

96,06:00:00,06:00:00,TX163T2S1,1
96,06:15:00,06:15:00,TX443T1S1,2
96,06:30:00,06:30:00,TX314T1S2,3
96,06:45:00,06:45:00,TX466T1S3,4
96,07:00:00,07:00:00,TX424T2S6,5
96,07:15:00,07:15:00,TX467T2S6,6
96,07:30:00,07:30:00,TX424T2S7,7
96,07:45:00,07:45:00,TX424T2S8,8

97,06:00:00,06:00:00,TX202T2S1,1
97,06:15:00,06:15:00,TX313T2S2,2
97,06:30:00,06:30:00,TX202T2S2,3
97,06:45:00,06:45:00,TX202T2S5,4
97,07:00:00,07:00:00,TX202T2S8,5

98,06:00:00,06:00:00,TX446T1S015,1
98,06:15:00,06:15:00,TX153T2S10,2
98,06:30:00,06:30:00,TX289T1S10,3
98,06:45:00,06:45:00,TX205T1S11,4
98,07:00:00,07:00:00,TX179T2S12,5
98,07:15:00,07:15:00,TX179T2S14,6
98,07:30:00,07:30:00,TX226T2S2,7
98,07:45:00,07:45:00,TX351T1S3,8
98,08:00:00,08:00:00,TX352T1S3,9
98,08:15:00,08:15:00,TX140T1S4,10
98,08:30:00,08:30:00,TX334T1S4,11
98,08:45:00,08:45:00,TX153T2S4,12
98,09:00:00,09:00:00,TX334T1S5,13
98,09:15:00,09:15:00,TX226T1S5,14
98,09:30:00,09:30:00,TX140T1S5,15
98,09:45:00,09:45:00,TX153T2S6,16
98,10:00:00,10:00:00,TX277T2S6,17
98,10:15:00,10:15:00,TX239T1S6,18
98,10:30:00,10:30:00,TX153T2S7,19
98,10:45:00,10:45:00,TX153T1S8,20
98,11:00:00,11:00:00,TX153T2S8,21
98,11:15:00,11:15:00,TX296T1S8,22

99,06:00:00,06:00:00,TX472T1S10,1
99,06:15:00,06:15:00,TX294T1S6,2
99,06:30:00,06:30:00,TX168T1S7,3
99,06:45:00,06:45:00,TX472T1S7,4
99,07:00:00,07:00:00,TX283T1S9,5

300,06:00:00,06:00:00,TX308T2,1
300,06:15:00,06:15:00,TX204T1S2,2
300,06:30:00,06:30:00,TX203T2S2,3

100,06:00:00,06:00:00,TX472T1S10,1
100,06:15:00,06:15:00,TX294T1S6,2
100,06:30:00,06:30:00,TX168T1S7,3
100,06:45:00,06:45:00,TX472T1S7,4
100,07:00:00,07:00:00,TX283T1S9,5

301,06:00:00,06:00:00,TX183T2S1,1
301,06:15:00,06:15:00,TX431T2S10,2
301,06:30:00,06:30:00,TX183T2S3,3
301,06:45:00,06:45:00,TX183T2S3,4

103,06:00:00,06:00:00,TX141T1S11,1
103,06:15:00,06:15:00,TX244T2S11,2
103,06:30:00,06:30:00,TX244T2S12,3
103,06:45:00,06:45:00,TX212T1S3,4
103,07:00:00,07:00:00,TX141T2S3,5
103,07:15:00,07:15:00,TX125T2S4,6
103,07:30:00,07:30:00,TX244T2S7,7
103,07:45:00,07:45:00,TX458T1S8,8

104,06:00:00,06:00:00,TX183T1S3,1
104,06:15:00,06:15:00,TX183T1S4,2
104,06:30:00,06:30:00,TX183T1S5,3
104,06:45:00,06:45:00,TX183T1S5,4
104,07:00:00,07:00:00,TX183T1S6,5

108,06:00:00,06:00:00,TX277S18,1
108,06:15:00,06:15:00,TX446T1S015,2
108,06:30:00,06:30:00,TX154T1S10,3
108,06:45:00,06:45:00,TX179T2S14,4
108,07:00:00,07:00:00,TX226T2S2,5
108,07:15:00,07:15:00,TX191T1S2,6
108,07:30:00,07:30:00,TX185T2S3,7
108,07:45:00,07:45:00,TX179T1S4,8
108,08:00:00,08:00:00,TX336T1S4,9
108,08:15:00,08:15:00,TX334T1S4,10
108,08:30:00,08:30:00,TX138T2S4,11
108,08:45:00,08:45:00,TX185T2S5,12
