trip_id,arrival_time,departure_time,stop_id,stop_sequence
81,06:00:00,06:00:00,SHR017SS02,1
81,06:15:00,06:15:00,SH015T1S2,2
81,06:30:00,06:30:00,SH015T2S2,3
81,06:45:00,06:45:00,SH015T2S3,4
81,07:00:00,07:00:00,SHR017S03,5
81,07:15:00,07:15:00,SH015T1S4,6
81,07:30:00,07:30:00,SH015T1S5,7
81,07:45:00,07:45:00,SH015T1S9,8

82,06:00:00,06:00:00,SH016T2S15,1
82,06:15:00,06:15:00,SH013T2S6,2
82,06:30:00,06:30:00,SH013T1S7A2,3
82,06:45:00,06:45:00,SH013T2S8,4
82,07:00:00,07:00:00,SH013T1S9,5

71,06:00:00,06:00:00,SH001T1S3,1
71,06:15:00,06:15:00,SH001T1S6,2

72,06:00:00,06:00:00,SH001T1S3,1
72,06:15:00,06:15:00,SH001T1S6,2

73,06:00:00,06:00:00,SHR005S5,1
73,06:15:00,06:15:00,SH003T1S1,2
73,06:30:00,06:30:00,SH003T1S10,3
73,06:45:00,06:45:00,SH003T1S11,4
73,07:00:00,07:00:00,SH003T1S12,5
73,07:15:00,07:15:00,SH003T1S13,6
73,07:30:00,07:30:00,SH003T1S14,7
73,07:45:00,07:45:00,SH003T1S15,8
73,08:00:00,08:00:00,SH003T1S2,9
73,08:15:00,08:15:00,SH003T1S3,10
73,08:30:00,08:30:00,SH003T1S4,11
73,08:45:00,08:45:00,SH003T1S5,12
73,09:00:00,09:00:00,SH003T1S6,13
73,09:15:00,09:15:00,SH003T1S7,14
73,09:30:00,09:30:00,SH003T1S9,15

74,06:00:00,06:00:00,SH007T2S2,1
74,06:15:00,06:15:00,SH007T2S3,2
74,06:30:00,06:30:00,SH007T1S4,3
74,06:45:00,06:45:00,SH007T1S5,4
74,07:00:00,07:00:00,SH007T2S5,5
74,07:15:00,07:15:00,SH007T2S7,6
74,07:30:00,07:30:00,SH007T1S7,7

75,06:00:00,06:00:00,SHR010S8,1
75,06:15:00,06:15:00,SHR013S2,2
75,06:30:00,06:30:00,SH007T1S5A2,3
75,06:45:00,06:45:00,SH009T1S6,4

76,06:00:00,06:00:00,SHR013S2,1
76,06:15:00,06:15:00,SHR01505,2
76,06:30:00,06:30:00,SH009T1S1,3
76,06:45:00,06:45:00,SH009T1S2,4
76,07:00:00,07:00:00,SH007T1S5A2,5
76,07:15:00,07:15:00,SH009T1S6,6

77,06:00:00,06:00:00,SH011T1S3,1
77,06:15:00,06:15:00,SH011T1S4,2
77,06:30:00,06:30:00,SH011T1S5,3
77,06:45:00,06:45:00,SH011T1S6,4
77,07:00:00,07:00:00,SH011T1S7,5

78,06:00:00,06:00:00,SH012T2S1,1
78,06:15:00,06:15:00,SH012T2S2,2
78,06:30:00,06:30:00,SH012T2S4,3
78,06:45:00,06:45:00,SH012T2S7,4

79,06:00:00,06:00:00,SHR002S7,1
79,06:15:00,06:15:00,SHR011S4,2
79,06:30:00,06:30:00,SHR017SS02,3
79,06:45:00,06:45:00,SH013T2S2,4
79,07:00:00,07:00:00,SH015T1S2,5
79,07:15:00,07:15:00,SHR017S03,6
79,07:30:00,07:30:00,SH013T2S4,7
79,07:45:00,07:45:00,SH013T2S6,8
79,08:00:00,08:00:00,SH011T2S7,9

80,06:00:00,06:00:00,SH014T2S1,1
80,06:15:00,06:15:00,SHR016S01,2
80,06:30:00,06:30:00,SHR016S02,3
80,06:45:00,06:45:00,SH014T1S4,4
80,07:00:00,07:00:00,SH014T2S4,5
80,07:15:00,07:15:00,SH014T1S5,6
80,07:30:00,07:30:00,SH014T1S6,7
