route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id
13,1,81,SH015T1,SH015T1,81
16,1,82,SH018T1,SH018T1,82
18,1,71,SH001T1,SH001T1,71
1,1,72,SH002T1,SH002T1,72
2,1,73,SH003T1,SH003T1,73
5,1,74,SH007T1,SH007T1,74
7,1,75,SH008T1,SH008T1,75
8,1,76,SH009T1,SH009T1,76
10,1,77,SH011T1,SH011T1,77
3,1,78,SH012T1,SH012T1,78
11,1,79,SH013T1,SH013T1,79
12,1,80,SH014T1,SH014T1,80
17,1,83,SH020T1,SH020T1,83
19,1,84,SH021T1,SH021T1,84
20,1,85,SH022T1,SH022T1,85
21,1,86,SH023T1,SH023T1,86
22,1,87,SH025T1,SH025T1,87
23,1,88,SH027T1,SH027T1,88
24,1,89,SH028T1,SH028T1,89
26,1,90,SH030T1,SH030T1,90
27,1,91,SH032T1,SH032T1,91
28,1,92,SH033T1,SH033T1,92
14,1,93,SH035T1,SH035T1,93
4,1,94,SH038T1,SH038T1,94
6,1,95,SH040T1,SH040T1,95
25,1,96,SH053T1,SH053T1,96
2,1,436,SH003T2,SH003T2,436
5,1,437,SH007T2,SH007T2,437
18,1,434,SH001T2,SH001T2,434
10,1,441,SH011T2,SH011T2,441
3,1,442,SH012T2,SH012T2,442
1,1,435,SH002T2,SH002T2,435
7,1,438,SH008T2,SH008T2,438
8,1,439,SH009T2,SH009T2,439
9,1,440,SH010T2,SH010T2,440
11,1,443,SH013T2,SH013T2,443
12,1,444,SH014T2,SH014T2,444
13,1,445,SH015T2,SH015T2,445
16,1,447,SH018T2,SH018T2,447
15,1,446,SH016T2,SH016T2,446
4,1,459,SH038T2,SH038T2,459
17,1,448,SH020T2,SH020T2,448
19,1,449,SH021T2,SH021T2,449
20,1,450,SH022T2,SH022T2,450
21,1,451,SH023T2,SH023T2,451
22,1,452,SH025T2,SH025T2,452
23,1,453,SH027T2,SH027T2,453
24,1,454,SH028T2,SH028T2,454
26,1,455,SH030T2,SH030T2,455
27,1,456,SH032T2,SH032T2,456
28,1,457,SH033T2,SH033T2,457
14,1,458,SH035T2,SH035T2,458
6,1,460,SH040T2,SH040T2,460
25,1,461,SH053T2,SH053T2,461
