fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
fare_0001,1500,SLL,0,,Freetown_poda_poda_01,
fare_0002,1500,SLL,0,,Freetown_poda_poda_01,
fare_0003,1500,SLL,0,,Freetown_SLRTC_03,
fare_0004,3000,SLL,0,,Freetown_poda_poda_01,
fare_0005,1500,SLL,0,,Freetown_Taxi_Cab_04,
fare_0006,1500,SLL,0,,Freetown_SLRTC_03,
fare_0007,1500,SLL,0,,Freetown_poda_poda_01,
fare_0008,3500,SLL,0,,Freetown_Taxi_Cab_04,
fare_0009,3000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0010,1500,SLL,0,,Freetown_poda_poda_01,
fare_0011,1500,SLL,0,,Freetown_poda_poda_01,
fare_0012,1500,SLL,0,,Freetown_Taxi_Cab_04,
fare_0013,1500,SLL,0,,Freetown_poda_poda_01,
fare_0014,1500,SLL,0,,Freetown_poda_poda_01,
fare_0015,1500,SLL,0,,Freetown_poda_poda_01,
fare_0016,1500,SLL,0,,Freetown_SLRTC_03,
fare_0017,1500,SLL,0,,Freetown_poda_poda_01,
fare_0018,3000,SLL,0,,Freetown_poda_poda_01,
fare_0019,1500,SLL,0,,Freetown_poda_poda_01,
fare_0020,1500,SLL,0,,Freetown_poda_poda_01,
fare_0021,1500,SLL,0,,Freetown_poda_poda_01,
fare_0022,3000,SLL,0,,Freetown_poda_poda_01,
fare_0023,3000,SLL,0,,Freetown_poda_poda_01,
fare_0024,2000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0025,1500,SLL,0,,Freetown_poda_poda_01,
fare_0026,3000,SLL,0,,Freetown_poda_poda_01,
fare_0027,3000,SLL,0,,Freetown_poda_poda_01,
fare_0028,1500,SLL,0,,Freetown_SLRTC_03,
fare_0029,1500,SLL,0,,Freetown_SLRTC_03,
fare_0030,3000,SLL,0,,Freetown_poda_poda_01,
fare_0031,5000,SLL,0,,Freetown_poda_poda_01,
fare_0033,1500,SLL,0,,Freetown_poda_poda_01,
fare_0034,1500,SLL,0,,Freetown_Taxi_Cab_04,
fare_0035,1500,SLL,0,,Freetown_poda_poda_01,
fare_0036,3000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0037,1500,SLL,0,,Freetown_poda_poda_01,
fare_0038,1500,SLL,0,,Freetown_SLRTC_03,
fare_0039,1500,SLL,0,,Freetown_poda_poda_01,
fare_0040,1500,SLL,0,,Freetown_poda_poda_01,
fare_0041,3000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0042,1500,SLL,0,,Freetown_Taxi_Cab_04,
fare_0043,1500,SLL,0,,Freetown_poda_poda_01,
fare_0044,2000,SLL,0,,Freetown_poda_poda_01,
fare_0045,3000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0046,5000,SLL,1,,Freetown_Tagrin_Ferry_01,
fare_0047,6000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0048,1500,SLL,0,,Freetown_poda_poda_01,
fare_0049,3500,SLL,0,,Freetown_poda_poda_01,
fare_0050,2000,SLL,0,,Freetown_poda_poda_01,
fare_0051,3000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0052,1500,SLL,0,,Freetown_SLRTC_03,
fare_0053,3000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0054,3500,SLL,0,,Freetown_Taxi_Cab_04,
fare_0055,1500,SLL,0,,Freetown_poda_poda_01,
fare_0056,1500,SLL,0,,Freetown_SLRTC_03,
fare_0057,2000,SLL,0,,Freetown_poda_poda_01,
fare_0058,6000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0059,1500,SLL,0,,Freetown_Taxi_Cab_04,
fare_0060,3000,SLL,0,,Freetown_poda_poda_01,
fare_0061,1500,SLL,0,,Freetown_poda_poda_01,
fare_0062,1500,SLL,0,,Freetown_poda_poda_01,
fare_0063,1500,SLL,0,,Freetown_poda_poda_01,
fare_0064,1500,SLL,0,,Freetown_poda_poda_01,
fare_0065,1500,SLL,0,,Freetown_poda_poda_01,
fare_0066,1500,SLL,0,,Freetown_poda_poda_01,
fare_0067,1500,SLL,0,,Freetown_poda_poda_01,
fare_0068,2500,SLL,0,,Freetown_poda_poda_01,
fare_0069,1500,SLL,0,,Freetown_poda_poda_01,
fare_0070,1500,SLL,0,,Freetown_poda_poda_01,
fare_0071,1500,SLL,0,,Freetown_poda_poda_01,
fare_0072,1500,SLL,0,,Freetown_Taxi_Cab_04,
fare_0073,1500,SLL,0,,Freetown_poda_poda_01,
fare_0074,1500,SLL,0,,Freetown_SLRTC_03,
fare_0075,1500,SLL,0,,Freetown_poda_poda_01,
fare_0076,5000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0077,1500,SLL,0,,Freetown_poda_poda_01,
fare_0078,1500,SLL,0,,Freetown_poda_poda_01,
fare_0079,3500,SLL,0,,Freetown_poda_poda_01,
fare_0080,1500,SLL,0,,Freetown_poda_poda_01,
fare_0081,1500,SLL,0,,Freetown_Taxi_Cab_04,
fare_0082,1500,SLL,0,,Freetown_poda_poda_01,
fare_0083,1500,SLL,0,,Freetown_SLRTC_03,
fare_0084,2500,SLL,0,,Freetown_poda_poda_01,
fare_0085,1500,SLL,0,,Freetown_poda_poda_01,
fare_0086,1500,SLL,0,,Freetown_poda_poda_01,
fare_0087,2000,SLL,0,,Freetown_poda_poda_01,
fare_0088,3000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0089,1500,SLL,0,,Freetown_poda_poda_01,
fare_0090,1500,SLL,0,,Freetown_poda_poda_01,
fare_0091,2000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0092,1500,SLL,0,,Freetown_poda_poda_01,
fare_0093,2500,SLL,0,,Freetown_poda_poda_01,
fare_0094,1500,SLL,0,,Freetown_poda_poda_01,
fare_0095,1500,SLL,0,,Freetown_poda_poda_01,
fare_0096,1500,SLL,0,,Freetown_poda_poda_01,
fare_0097,3000,SLL,0,,Freetown_poda_poda_01,
fare_0098,5000,SLL,1,,Freetown_Tagrin_Ferry_01,
fare_0099,3000,SLL,0,,Freetown_poda_poda_01,
fare_0100,2000,SLL,0,,Freetown_poda_poda_01,
fare_0101,2500,SLL,0,,Freetown_poda_poda_01,
fare_0102,3000,SLL,0,,Freetown_Taxi_Cab_04,
fare_0103,1500,SLL,0,,Freetown_poda_poda_01,
fare_0104,1500,SLL,0,,Freetown_poda_poda_01,
