trip_id,start_time,end_time,headway_secs,exact_times
trip_0001,07:00:00,10:00:00,300,0
trip_0002,05:00:00,07:00:00,480,0
trip_0002,10:00:00,16:00:00,480,0
trip_0002,20:00:00,22:00:00,480,0
trip_0003,16:00:00,20:00:00,600,0
trip_0004,05:00:00,07:00:00,720,0
trip_0004,07:00:00,10:00:00,480,0
trip_0004,10:00:00,16:00:00,720,0
trip_0004,16:00:00,20:00:00,1200,0
trip_0004,20:00:00,23:00:00,720,0
trip_0005,07:00:00,10:00:00,1500,0
trip_0006,06:00:00,07:00:00,180,0
trip_0006,10:00:00,16:00:00,180,0
trip_0007,16:00:00,20:00:00,1800,0
trip_0008,06:00:00,07:00:00,180,0
trip_0008,07:00:00,10:00:00,1500,0
trip_0008,10:00:00,16:00:00,180,0
trip_0008,16:00:00,20:00:00,1800,0
trip_0009,07:00:00,10:00:00,1200,0
trip_0010,16:00:00,20:00:00,480,0
trip_0011,05:30:00,07:00:00,300,0
trip_0011,10:00:00,16:00:00,300,0
trip_0011,20:00:00,23:30:00,300,0
trip_0012,07:00:00,10:00:00,2400,0
trip_0013,07:00:00,10:00:00,600,0
trip_0014,06:00:00,07:00:00,480,0
trip_0014,10:00:00,16:00:00,480,0
trip_0014,20:00:00,21:00:00,480,0
trip_0015,16:00:00,20:00:00,1500,0
trip_0016,06:00:00,07:00:00,420,0
trip_0016,07:00:00,10:00:00,600,0
trip_0016,10:00:00,16:00:00,420,0
trip_0016,16:00:00,20:00:00,1620,0
trip_0016,20:00:00,20:30:00,420,0
trip_0017,07:00:00,10:00:00,600,0
trip_0018,06:00:00,07:00:00,300,0
trip_0018,10:00:00,16:00:00,300,0
trip_0018,20:00:00,23:00:00,300,0
trip_0019,16:00:00,20:00:00,900,0
trip_0020,06:00:00,07:00:00,300,0
trip_0020,07:00:00,10:00:00,600,0
trip_0020,10:00:00,16:00:00,300,0
trip_0020,16:00:00,20:00:00,900,0
trip_0020,20:00:00,23:00:00,300,0
trip_0021,07:00:00,10:00:00,3000,0
trip_0022,06:00:00,07:00:00,600,0
trip_0022,10:00:00,16:00:00,600,0
trip_0022,20:00:00,20:30:00,600,0
trip_0023,16:00:00,20:00:00,1200,0
trip_0024,06:15:00,16:00:00,900,0
trip_0024,16:00:00,20:00:00,2100,0
trip_0024,20:00:00,21:00:00,900,0
trip_0025,07:00:00,10:00:00,60,0
trip_0026,06:00:00,07:00:00,3180,0
trip_0026,10:00:00,16:00:00,3180,0
trip_0026,20:00:00,21:00:00,3180,0
trip_0027,16:00:00,20:00:00,1200,0
trip_0028,07:00:00,10:00:00,60,0
trip_0028,10:00:00,16:00:00,3180,0
trip_0028,16:00:00,19:00:00,1200,0
trip_0029,07:00:00,10:00:00,300,0
trip_0030,05:00:00,07:00:00,300,0
trip_0030,10:00:00,16:00:00,300,0
trip_0030,20:00:00,22:00:00,300,0
trip_0031,16:00:00,20:00:00,900,0
trip_0032,06:00:00,16:00:00,300,0
trip_0032,16:00:00,20:00:00,600,0
trip_0032,20:00:00,22:00:00,300,0
trip_0033,07:00:00,10:00:00,480,0
trip_0034,16:00:00,20:00:00,1200,0
trip_0035,06:00:00,07:00:00,300,0
trip_0035,10:00:00,16:00:00,300,0
trip_0035,20:00:00,23:00:00,300,0
trip_0036,07:00:00,10:00:00,600,0
trip_0036,10:00:00,19:00:00,1200,0
trip_0037,07:00:00,10:00:00,240,0
trip_0038,05:30:00,07:00:00,300,0
trip_0038,10:00:00,16:00:00,300,0
trip_0038,20:00:00,21:30:00,300,0
trip_0039,16:00:00,20:00:00,360,0
trip_0040,06:00:00,07:00:00,240,0
trip_0040,07:00:00,10:00:00,420,0
trip_0040,10:00:00,16:00:00,240,0
trip_0040,16:00:00,20:00:00,300,0
trip_0040,20:00:00,21:30:00,240,0
trip_0041,07:00:00,10:00:00,600,0
trip_0042,05:30:00,07:00:00,900,0
trip_0042,10:00:00,16:00:00,900,0
trip_0042,20:00:00,23:30:00,900,0
trip_0043,16:00:00,20:00:00,1800,0
trip_0044,08:00:00,10:00:00,900,0
trip_0044,10:00:00,16:00:00,1200,0
trip_0044,16:00:00,20:00:00,300,0
trip_0044,20:00:00,24:00:00,1200,0
trip_0045,07:00:00,10:00:00,180,0
trip_0046,06:00:00,07:00:00,180,0
trip_0046,10:00:00,16:00:00,180,0
trip_0046,20:00:00,22:00:00,180,0
trip_0047,16:00:00,20:00:00,180,0
trip_0048,06:00:00,16:00:00,180,0
trip_0048,16:00:00,20:00:00,300,0
trip_0048,20:00:00,22:00:00,180,0
trip_0049,07:00:00,10:00:00,180,0
trip_0050,06:00:00,07:00:00,180,0
trip_0050,10:00:00,16:00:00,180,0
trip_0050,20:00:00,23:00:00,180,0
trip_0051,16:00:00,20:00:00,180,0
trip_0052,06:00:00,16:00:00,180,0
trip_0052,16:00:00,20:00:00,300,0
trip_0052,20:00:00,21:00:00,180,0
trip_0053,07:00:00,10:00:00,300,0
trip_0054,06:00:00,07:00:00,300,0
trip_0054,10:00:00,16:00:00,300,0
trip_0054,20:00:00,20:30:00,300,0
trip_0055,16:00:00,20:00:00,600,0
trip_0056,06:00:00,16:00:00,300,0
trip_0056,16:00:00,20:00:00,600,0
trip_0056,20:00:00,20:30:00,300,0
trip_0057,07:00:00,10:00:00,240,0
trip_0058,06:00:00,07:00:00,180,0
trip_0058,10:00:00,16:00:00,180,0
trip_0058,20:00:00,21:00:00,180,0
trip_0059,16:00:00,20:00:00,300,0
trip_0060,06:00:00,07:00:00,120,0
trip_0060,07:00:00,10:00:00,300,0
trip_0060,10:00:00,16:00:00,120,0
trip_0060,16:00:00,20:00:00,300,0
trip_0060,20:00:00,21:00:00,120,0
trip_0061,05:30:00,07:00:00,300,0
trip_0061,10:00:00,16:00:00,300,0
trip_0061,20:00:00,23:30:00,300,0
trip_0062,16:00:00,20:00:00,1800,0
trip_0063,07:00:00,10:00:00,300,0
trip_0064,05:30:00,07:00:00,300,0
trip_0064,07:00:00,10:00:00,1200,0
trip_0064,10:00:00,23:30:00,300,0
trip_0065,07:00:00,10:00:00,900,0
trip_0066,16:00:00,20:00:00,600,0
trip_0067,06:00:00,07:00:00,600,0
trip_0067,10:00:00,16:00:00,600,0
trip_0067,20:00:00,20:30:00,600,0
trip_0068,08:00:00,10:00:00,600,0
trip_0068,10:00:00,16:00:00,1800,0
trip_0068,16:00:00,20:00:00,300,0
trip_0068,20:00:00,23:30:00,1800,0
trip_0069,16:00:00,20:00:00,480,0
trip_0070,05:30:00,07:00:00,900,0
trip_0070,10:00:00,16:00:00,900,0
trip_0070,20:00:00,21:00:00,900,0
trip_0071,07:00:00,10:00:00,600,0
trip_0072,06:30:00,16:00:00,900,0
trip_0072,16:00:00,20:00:00,1200,0
trip_0072,20:00:00,21:00:00,900,0
trip_0073,07:00:00,10:00:00,3600,0
trip_0074,06:00:00,07:00:00,60,0
trip_0074,10:00:00,16:00:00,60,0
trip_0074,20:00:00,21:00:00,60,0
trip_0075,16:00:00,20:00:00,60,0
trip_0076,07:00:00,19:00:00,600,0
trip_0077,06:00:00,07:00:00,900,0
trip_0077,07:00:00,10:00:00,300,0
trip_0077,10:00:00,16:00:00,900,0
trip_0077,16:00:00,20:00:00,480,0
trip_0078,06:00:00,07:00:00,300,0
trip_0078,10:00:00,16:00:00,300,0
trip_0078,20:00:00,21:00:00,300,0
trip_0079,16:00:00,20:00:00,300,0
trip_0080,07:00:00,10:00:00,1800,0
trip_0080,10:00:00,19:00:00,1200,0
trip_0081,07:00:00,10:00:00,300,0
trip_0082,05:30:00,07:00:00,600,0
trip_0082,10:00:00,16:00:00,600,0
trip_0082,20:00:00,23:30:00,600,0
trip_0083,16:00:00,20:00:00,2700,0
trip_0084,06:00:00,16:00:00,300,0
trip_0084,16:00:00,20:00:00,600,0
trip_0084,20:00:00,23:00:00,300,0
trip_0085,16:00:00,20:00:00,900,0
trip_0086,05:00:00,07:00:00,300,0
trip_0086,10:00:00,16:00:00,300,0
trip_0086,20:00:00,21:00:00,300,0
trip_0087,07:00:00,10:00:00,600,0
trip_0088,07:00:00,10:00:00,900,0
trip_0088,10:00:00,16:00:00,600,0
