route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
route_0001,Freetown_poda_poda_01,"","Lumley to Regent Road",,1501,,0EC904,000000
route_0002,Freetown_poda_poda_01,"","Congo Town to Goderich Street",,1501,,4CC904,000000
route_0003,Freetown_SLRTC_03,"","Calaba Town Eastern Police",,700,,048AC9,000000
route_0004,Freetown_poda_poda_01,"","Bombay to Waterloo",,1501,,04C98D,000000
route_0005,Freetown_Taxi_Cab_04,"","Lumley to Aberdeen Village",,1501,,C90408,FFFFFF
route_0006,Freetown_SLRTC_03,"","Regent Road to Braima Lane",,700,,9BC904,000000
route_0007,Freetown_poda_poda_01,"","Annie Walsh Gate to Wellington",,1501,,04C971,000000
route_0008,Freetown_Taxi_Cab_04,"","Model Junction to Up Church",,1501,,C90416,FFFFFF
route_0009,Freetown_Taxi_Cab_04,"","Tree Planting to Model",,1501,,C95A04,000000
route_0010,Freetown_poda_poda_01,"","Elk Street to Dworzark",,1501,,C404C9,FFFFFF
route_0011,Freetown_poda_poda_01,"","Sackville Street  to Wellington",,1501,,C9042C,FFFFFF
route_0012,Freetown_Taxi_Cab_04,"","Aberdeen to Aberdeen Road",,1501,,C95304,000000
route_0013,Freetown_poda_poda_01,"","Congo Cross to Wilberforce",,1501,,C90459,FFFFFF
route_0014,Freetown_poda_poda_01,"","Eastern Police  to Kingtom",,1501,,56C904,000000
route_0015,Freetown_poda_poda_01,"","Kingtom Park to Goderich Street",,1501,,C90474,FFFFFF
route_0016,Freetown_SLRTC_03,"","Eastern Police to Calaba Town",,700,,C9047F,FFFFFF
route_0017,Freetown_poda_poda_01,"","Lumley to Kamayama",,1501,,C9C704,000000
route_0018,Freetown_poda_poda_01,"","Bus Station to Regent",,1501,,A604C9,FFFFFF
route_0019,Freetown_poda_poda_01,"","Calabatown to Annie Walsh Gate",,1501,,7504C9,FFFFFF
route_0020,Freetown_poda_poda_01,"","Barracks Old Road to Annie Walsh Gate",,1501,,AAC904,000000
route_0021,Freetown_poda_poda_01,"","Sackville Street to Wellington",,1501,,04C92D,000000
route_0022,Freetown_poda_poda_01,"","Regent to Bus Station",,1501,,0490C9,000000
route_0023,Freetown_poda_poda_01,"","Waterloo to Bombay",,1501,,C90427,FFFFFF
route_0024,Freetown_Taxi_Cab_04,"","Wilberforce to Lumley",,1501,,C90471,FFFFFF
route_0025,Freetown_poda_poda_01,"","Regent Road to Aberdeen",,1501,,04BBC9,000000
route_0026,Freetown_poda_poda_01,"","Lumley to Baw Baw",,1501,,C904A4,FFFFFF
route_0027,Freetown_poda_poda_01,"","Patton Street to Waterloo",,1501,,C90491,FFFFFF
route_0028,Freetown_SLRTC_03,"","Calaba Town  to Regent Street",,700,,C9043E,FFFFFF
route_0029,Freetown_SLRTC_03,"","Regent Street to Calaba Town",,700,,C90404,FFFFFF
route_0030,Freetown_poda_poda_01,"","Baw Baw to Lumley",,1501,,C95D04,000000
route_0031,Freetown_poda_poda_01,"","Lumley to Jui",,1501,,2604C9,FFFFFF
route_0033,Freetown_poda_poda_01,"","Murray Town to Goderich Street",,1501,,C9BD04,000000
route_0034,Freetown_Taxi_Cab_04,"","Ogoo Farm to Lumley",,1501,,04C960,000000
route_0035,Freetown_poda_poda_01,"","Eastern Police to Wellington",,1501,,7F04C9,FFFFFF
route_0036,Freetown_Taxi_Cab_04,"","Leicester to Model",,1501,,C90426,FFFFFF
route_0037,Freetown_poda_poda_01,"","Guard Street to Barracks",,1501,,04C97B,000000
route_0038,Freetown_SLRTC_03,"","Annie Walsh Gate to Calaba Town",,700,,09C904,000000
route_0039,Freetown_poda_poda_01,"","Calabatown to Sackville Street",,1501,,AAC904,000000
route_0040,Freetown_poda_poda_01,"","Guard Street to Wellington",,1501,,49C904,000000
route_0041,Freetown_Taxi_Cab_04,"","Gloucester to Model",,1501,,C90437,FFFFFF
route_0042,Freetown_Taxi_Cab_04,"","FBC to Model",,1501,,C904C4,FFFFFF
route_0043,Freetown_poda_poda_01,"","Braima Lane to Eastern Police",,1501,,04AEC9,000000
route_0044,Freetown_poda_poda_01,"","Bus Station to Hill Station",,1501,,A004C9,FFFFFF
route_0045,Freetown_Taxi_Cab_04,"","Congo Cross to Hill Station",,1501,,C93A04,FFFFFF
route_0046,Freetown_Tagrin_Ferry_01,"","Kissy Ferry Terminal to Tagrin Ferry Terminal",,1200,,1704C9,FFFFFF
route_0047,Freetown_Taxi_Cab_04,"","Congo Cross to Jui",,1501,,04C968,000000
