stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
hub_0001,,"Wilberforce","",8.468191,-13.261957,,,1,,,
hub_0002,,"Lumley","",8.456025,-13.272294,,,1,,,
hub_0003,,"Aberdeen","",8.493606,-13.286955,,,1,,,
hub_0004,,"Jui","",8.393121,-13.144289,,,1,,,
hub_0005,,"Waterloo","",8.329411,-13.052938,,,1,,,
hub_0006,,"Braima Lane","",8.464838,-13.180401,,,1,,,
hub_0007,,"PWD","",8.477354,-13.206859,,,1,,,
hub_0008,,"Ferry Junction","",8.479928,-13.20606,,,1,,,
hub_0009,,"Sackville Street","",8.487175,-13.228848,,,1,,,
hub_0010,,"Eastern Police","",8.487902,-13.226187,,,1,,,
hub_0011,,"Congo Cross","",8.483085,-13.258846,,,1,,,
hub_0012,,"Ogoo Farm Parking Station","",8.404939,-13.261871,,,1,,,
hub_0013,,"Baw Baw","",8.34112,-13.212873,,,1,,,
hub_0014,,"Dworzark","",8.467704,-13.235041,,,1,,,
hub_0015,,"Tengbeh Town","",8.475256,-13.255657,,,1,,,
hub_0016,,"Wellington","",8.444261,-13.161605,,,1,,,
stop_0001,,"Kingtom Bridge","",8.48524,-13.24453,,,0,,,
stop_0002,,"Adulphus Street","",8.47393,-13.19525,,,0,,,
stop_0003,,"Hillcut","",8.46286,-13.25521,,,0,,,
stop_0004,,"Central Mosque","",8.46204,-13.17342,,,0,,,
stop_0005,,"B-Mart","",8.46555,-13.2169,,,0,,,
stop_0006,,"Mango Stick","",8.47464,-13.24211,,,0,,,
stop_0007,,"Kowar Drive","",8.43738,-13.22442,,,0,,,
stop_0008,,"Alpha Wurie","",8.45071,-13.23799,,,0,,,
stop_0009,,"Grass Field","",8.46846,-13.1787,,,0,,,
stop_0010,,"Kingtom Bridge","",8.48588,-13.24448,,,0,,,
stop_0011,,"Baw Baw","",8.34116,-13.21283,,,0,hub_0013,,
stop_0012,,"Old Np","",8.49158,-13.28295,,,0,,,
stop_0013,,"Milton Margai College Junction","",8.42709,-13.27757,,,0,,,
stop_0014,,"Blue Bell","",8.46815,-13.26873,,,0,,,
stop_0015,,"Regent Street","",8.48629,-13.23139,,,0,,,
stop_0016,,"Easton Street","",8.48574,-13.21977,,,0,,,
stop_0017,,"Sarola","",8.47524,-13.19696,,,0,,,
stop_0019,,"Calaba Town","",8.43165,-13.1556,,,0,,,
stop_0020,,"Dundas St","",8.47829,-13.2392,,,0,,,
stop_0021,,"Ordinance","",8.48896,-13.26178,,,0,,,
stop_0022,,"Taylor","",8.47236,-13.1932,,,0,,,
stop_0023,,"Caulker Street","",8.44993,-13.16664,,,0,,,
stop_0024,,"Dirty Box","",8.47939,-13.24231,,,0,,,
stop_0025,,"Goderich Street","",8.487,-13.22841,,,0,,,
