trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
trip_0001,route_0001,service_0002,Regent Road,"Morning peak trip",,,shape_0001,
trip_0002,route_0001,service_0002,Regent Road,"Off peak trip",,,shape_0001,
trip_0003,route_0001,service_0002,Regent Road,"Evening peak trip",,,shape_0001,
trip_0004,route_0001,service_0001,Regent Road,"Weekend trip",,,shape_0001,
trip_0005,route_0002,service_0002,Elk Street,"Morning peak trip",,,shape_0002,
trip_0006,route_0002,service_0002,Elk Street,"Off peak trip",,,shape_0002,
trip_0007,route_0002,service_0002,Elk Street,"Evening peak trip",,,shape_0002,
trip_0008,route_0002,service_0001,Elk Street,"Weekend trip",,,shape_0002,
trip_0009,route_0003,service_0002,Eastern Police,"Morning peak trip",,,shape_0003,
trip_0010,route_0003,service_0002,Eastern Police,"Evening peak trip",,,shape_0003,
trip_0011,route_0003,service_0002,Eastern Police,"Off peak trip",,,shape_0003,
trip_0012,route_0061,service_0002,Regent Road,"Weekdays",,,route_0105_2,
trip_0013,route_0004,service_0002,Waterloo,"Morning peak trip",,,shape_0004,
trip_0014,route_0004,service_0002,Waterloo,"Off peak trip",,,shape_0004,
trip_0015,route_0004,service_0002,Waterloo,"Evening peak trip",,,shape_0004,
trip_0016,route_0004,service_0001,Waterloo,"Weekend trip",,,shape_0004,
trip_0017,route_0005,service_0002,Aberdeen,"Morning peak trip",,,shape_0005,
trip_0018,route_0005,service_0002,Aberdeen,"Off peak trip",,,shape_0005,
trip_0019,route_0005,service_0002,Aberdeen,"Evening peak trip",,,shape_0005,
trip_0020,route_0005,service_0001,Aberdeen,"Weekend trip",,,shape_0005,
trip_0021,route_0006,service_0002,Braima Lane,"Morning peak trip",,,shape_0006,
trip_0022,route_0006,service_0002,Braima Lane,"Off peak trip",,,shape_0006,
trip_0023,route_0006,service_0002,Braima Lane,"Evening peak trip",,,shape_0006,
trip_0024,route_0006,service_0001,Braima Lane,"Weekend trip",,,shape_0006,
trip_0025,route_0007,service_0002,SLPMB,"Morning peak trip",,,shape_0007,
trip_0026,route_0007,service_0002,SLPMB,"Off peak trip",,,shape_0007,
trip_0027,route_0007,service_0002,SLPMB,"Evening peak trip",,,shape_0007,
trip_0028,route_0007,service_0001,SLPMB,"Weekend trip",,,shape_0007,
trip_0029,route_0008,service_0002,UP Church ,"Morning peak trip",,,shape_0008,
trip_0030,route_0008,service_0002,UP Church ,"Off peak trip",,,shape_0008,
trip_0031,route_0008,service_0002,UP Church ,"Evening peak trip",,,shape_0008,
trip_0032,route_0008,service_0001,UP Church ,"Weekend trip",,,shape_0008,
trip_0033,route_0009,service_0002,Model Junction,"Morning peak trip",,,shape_0009,
trip_0034,route_0009,service_0002,Model Junction,"Evening peak trip",,,shape_0009,
trip_0035,route_0009,service_0002,Model Junction,"Off peak trip",,,shape_0009,
trip_0036,route_0082,service_0001,Barracks Old Road,"Weekend trip",,,shape_0082,
trip_0037,route_0096,service_0002,Elk Street,"Weekdays",,,route_0115_1,
trip_0038,route_0010,service_0002,Dworzark,"Off peak trip",,,shape_0010,
trip_0039,route_0010,service_0002,Dworzark,"Evening peak trip",,,shape_0010,
trip_0040,route_0010,service_0001,Dworzark,"Weekend trip",,,shape_0010,
trip_0041,route_0011,service_0002,SLPMB,"Morning peak trip",,,shape_0011,
trip_0042,route_0011,service_0002,SLPMB,"Off peak trip",,,shape_0011,
trip_0043,route_0011,service_0002,SLPMB,"Evening peak trip",,,shape_0011,
trip_0044,route_0011,service_0001,SLPMB,"Weekend trip",,,shape_0011,
trip_0045,route_0012,service_0002,Aberdeen Road,"Morning peak trip",,,shape_0012,
trip_0046,route_0012,service_0002,Aberdeen Road,"Off peak trip",,,shape_0012,
trip_0047,route_0012,service_0002,Aberdeen Road,"Evening peak trip",,,shape_0012,
trip_0048,route_0012,service_0001,Aberdeen Road,"Weekend trip",,,shape_0012,
trip_0049,route_0013,service_0002,Wilberforce,"Morning peak trip",,,shape_0013,
trip_0050,route_0013,service_0002,Wilberforce,"Off peak trip",,,shape_0013,
trip_0051,route_0013,service_0002,Wilberforce,"Evening peak trip",,,shape_0013,
trip_0052,route_0013,service_0001,Wilberforce,"Weekend trip",,,shape_0013,
trip_0053,route_0014,service_0002,Kingtom Park,"Morning peak trip",,,shape_0014,
trip_0054,route_0014,service_0002,Kingtom Park,"Off peak trip",,,shape_0014,
trip_0055,route_0014,service_0002,Kingtom Park,"Evening peak trip",,,shape_0014,
trip_0056,route_0014,service_0001,Kingtom Park,"Weekend trip",,,shape_0014,
trip_0057,route_0015,service_0002,Elk Street,"Morning peak trip",,,shape_0015,
trip_0058,route_0015,service_0002,Elk Street,"Off peak trip",,,shape_0015,
trip_0059,route_0015,service_0002,Elk Street,"Evening peak trip",,,shape_0015,
trip_0060,route_0015,service_0001,Elk Street,"Weekend trip",,,shape_0015,
trip_0061,route_0016,service_0002,Calaba Town,"Off peak trip",,,shape_0016,
trip_0062,route_0016,service_0002,Calaba Town,"Evening peak trip",,,shape_0016,
trip_0063,route_0016,service_0002,Calaba Town,"Morning peak trip",,,shape_0016,
trip_0064,route_0003,service_0001,Eastern Police,"Weekend trip",,,shape_0003,
trip_0065,route_0017,service_0002,Kamayama,"Morning peak trip",,,shape_0017,
trip_0066,route_0017,service_0002,Kamayama,"Evening peak trip",,,shape_0017,
trip_0067,route_0017,service_0002,Kamayama,"Off peak trip",,,shape_0017,
