trip_id,start_time,end_time,headway_secs,exact_times
trip_0359,06:00:00,07:00:00,600,0
trip_0359,07:00:00,10:00:00,300,0
trip_0359,10:00:00,16:00:00,600,0
trip_0359,16:00:00,18:00:00,300,0
trip_0359,18:00:00,22:00:00,600,0
trip_0360,07:00:00,10:00:00,300,0
trip_0360,10:00:00,16:00:00,600,0
trip_0360,16:00:00,18:00:00,600,0
trip_0360,18:00:00,21:00:00,600,0
trip_0499,06:00:00,07:00:00,600,0
trip_0499,07:00:00,10:00:00,300,0
trip_0499,10:00:00,16:00:00,600,0
trip_0499,16:00:00,18:00:00,300,0
trip_0499,18:00:00,22:00:00,600,0
trip_0500,07:00:00,10:00:00,300,0
trip_0500,10:00:00,16:00:00,900,0
trip_0500,16:00:00,18:00:00,600,0
trip_0500,18:00:00,21:00:00,900,0
trip_0691,06:00:00,07:00:00,600,0
trip_0691,07:00:00,10:00:00,300,0
trip_0691,10:00:00,16:00:00,600,0
trip_0691,16:00:00,18:00:00,300,0
trip_0691,18:00:00,22:00:00,600,0
trip_0692,07:00:00,10:00:00,300,0
trip_0692,10:00:00,16:00:00,600,0
trip_0692,16:00:00,18:00:00,600,0
trip_0692,18:00:00,21:00:00,600,0
trip_0865,06:00:00,07:00:00,600,0
trip_0865,07:00:00,10:00:00,300,0
trip_0865,10:00:00,16:00:00,600,0
trip_0865,16:00:00,18:00:00,300,0
trip_0865,18:00:00,22:00:00,600,0
trip_0866,07:00:00,10:00:00,300,0
trip_0866,10:00:00,16:00:00,600,0
trip_0866,16:00:00,18:00:00,300,0
trip_0866,18:00:00,21:00:00,600,0
trip_0965,05:00:00,07:00:00,300,0
trip_0965,07:00:00,10:00:00,300,0
trip_0965,10:00:00,16:00:00,300,0
trip_0965,16:00:00,18:00:00,300,0
trip_0965,18:00:00,20:00:00,300,0
trip_0966,05:00:00,07:00:00,900,0
trip_0966,07:00:00,10:00:00,300,0
trip_0966,10:00:00,16:00:00,900,0
trip_0966,16:00:00,18:00:00,600,0
trip_0966,18:00:00,20:00:00,900,0
