shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_0180,-17.8297157287598,31.0560417175293,0,5228079
shape_0180,-17.8295974731445,31.0562267303467,1,5228102.5
shape_0180,-17.8295917510986,31.0562362670898,2,5228103.5
shape_0180,-17.8294906616211,31.0562496185303,3,5228115
shape_0180,-17.8294048309326,31.0562381744385,4,5228124.5
shape_0180,-17.8292636871338,31.0561332702637,5,5228144
shape_0180,-17.8292293548584,31.0559101104736,6,5228167.5
shape_0180,-17.8294868469238,31.0551853179932,7,5228249.5
shape_0180,-17.8295669555664,31.0548934936523,8,5228281.5
shape_0180,-17.8298950195313,31.0549697875977,9,5228319
shape_0180,-17.8303966522217,31.0550994873047,10,5228376.5
shape_0180,-17.8304405212402,31.0549297332764,11,5228395
shape_0180,-17.8300380706787,31.0548210144043,12,5228441
shape_0180,-17.8296089172363,31.0547180175781,13,5228490
shape_0180,-17.8297710418701,31.0539493560791,14,5228573.5
shape_0180,-17.8299503326416,31.0530948638916,15,5228666
shape_0180,-17.8299827575684,31.0529479980469,16,5228682
shape_0180,-17.8303451538086,31.0514469146729,17,5228846
shape_0180,-17.8307266235352,31.0498676300049,18,5229018.5
shape_0180,-17.8310661315918,31.0484466552734,19,5229173.5
shape_0180,-17.8312320709229,31.0477981567383,20,5229244.5
shape_0180,-17.8314170837402,31.0468864440918,21,5229343.5
shape_0180,-17.8314228057861,31.0466804504395,22,5229365
shape_0180,-17.8314151763916,31.0461196899414,23,5229424.5
shape_0180,-17.8314056396484,31.0458889007568,24,5229449
shape_0180,-17.8313789367676,31.0452308654785,25,5229518.5
shape_0180,-17.8313446044922,31.0446281433105,26,5229582.5
shape_0180,-17.8313388824463,31.0444965362549,27,5229596.5
shape_0180,-17.831335067749,31.0444393157959,28,5229602.5
shape_0180,-17.8313312530518,31.044376373291,29,5229609
shape_0180,-17.8313865661621,31.0443706512451,30,5229615.5
shape_0180,-17.8318309783936,31.0443572998047,31,5229665
