trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
trip_0359,12:40:19,12:40:19,stop_0106,1,"",,,
trip_0359,12:42:29,12:42:29,stop_0457,2,"",,,
trip_0359,12:44:51,12:44:51,stop_0903,3,"",,,
trip_0360,12:40:19,12:40:19,stop_0106,1,"",,,
trip_0360,12:42:29,12:42:29,stop_0457,2,"",,,
trip_0360,12:44:51,12:44:51,stop_0903,3,"",,,
trip_0499,11:30:25,11:30:25,stop_0110,1,"",,,
trip_0499,11:34:59,11:34:59,stop_1743,2,"",,,
trip_0499,11:40:07,11:40:07,stop_0035,3,"",,,
trip_0500,11:30:25,11:30:25,stop_0110,1,"",,,
trip_0500,11:34:59,11:34:59,stop_1743,2,"",,,
trip_0500,11:40:07,11:40:07,stop_0035,3,"",,,
trip_0691,12:49:35,12:49:35,stop_0976,1,"",,,
trip_0691,12:53:30,12:53:30,stop_0067,2,"",,,
trip_0691,12:59:57,12:59:57,stop_0064,3,"",,,
trip_0692,12:49:35,12:49:35,stop_0976,1,"",,,
trip_0692,12:53:30,12:53:30,stop_0067,2,"",,,
trip_0692,12:59:57,12:59:57,stop_0064,3,"",,,
trip_0865,11:49:59,11:49:59,stop_0035,1,"",,,
trip_0865,11:58:22,11:58:22,stop_0014,2,"",,,
trip_0866,11:49:59,11:49:59,stop_0035,1,"",,,
trip_0866,11:58:22,11:58:22,stop_0014,2,"",,,
trip_0965,11:01:08,11:01:08,stop_0261,1,"",,,
trip_0965,11:03:58,11:03:58,stop_0960,2,"",,,
trip_0965,11:06:15,11:06:15,stop_1275,3,"",,,
trip_0966,11:01:08,11:01:08,stop_0261,1,"",,,
trip_0966,11:03:58,11:03:58,stop_0960,2,"",,,
trip_0966,11:06:15,11:06:15,stop_1275,3,"",,,
