fare_id,route_id,origin_id,destination_id,contains_id
fare_0001,route_0001,,,
fare_0002,route_0002,,,
fare_0003,route_0003,,,
fare_0004,route_0004,,,
fare_0005,route_0005,,,
fare_0006,route_0006,,,
fare_0007,route_0007,,,
fare_0008,route_0008,,,
fare_0009,route_0009,,,
fare_0010,route_0010,,,
fare_0011,route_0011,,,
fare_0012,route_0012,,,
fare_0013,route_0013,,,
fare_0014,route_0014,,,
fare_0015,route_0015,,,
fare_0016,route_0016,,,
fare_0017,route_0017,,,
fare_0018,route_0018,,,
fare_0019,route_0019,,,
fare_0020,route_0020,,,
fare_0021,route_0021,,,
fare_0022,route_0022,,,
fare_0023,route_0023,,,
fare_0024,route_0024,,,
fare_0025,route_0025,,,
fare_0026,route_0026,,,
fare_0027,route_0027,,,
fare_0028,route_0028,,,
fare_0029,route_0029,,,
fare_0030,route_0030,,,
fare_0031,route_0031,,,
fare_0032,route_0032,,,
fare_0033,route_0033,,,
fare_0034,route_0034,,,
fare_0035,route_0035,,,
fare_0036,route_0036,,,
fare_0037,route_0037,,,
fare_0038,route_0038,,,
fare_0039,route_0039,,,
fare_0040,route_0040,,,
fare_0041,route_0041,,,
fare_0042,route_0042,,,
fare_0043,route_0043,,,
fare_0044,route_0044,,,
fare_0045,route_0045,,,
fare_0046,route_0046,,,
fare_0047,route_0047,,,
fare_0048,route_0048,,,
fare_0049,route_0049,,,
fare_0050,route_0050,,,
fare_0051,route_0051,,,
fare_0052,route_0052,,,
fare_0053,route_0053,,,
fare_0054,route_0054,,,
fare_0055,route_0055,,,
fare_0056,route_0056,,,
fare_0057,route_0057,,,
fare_0058,route_0058,,,
fare_0059,route_0059,,,
fare_0060,route_0060,,,
fare_0061,route_0061,,,
fare_0062,route_0062,,,
fare_0063,route_0063,,,
fare_0064,route_0064,,,
fare_0065,route_0065,,,
fare_0066,route_0066,,,
fare_0067,route_0067,,,
fare_0068,route_0068,,,
fare_0069,route_0069,,,
fare_0070,route_0070,,,
fare_0071,route_0071,,,
fare_0072,route_0072,,,
fare_0073,route_0073,,,
fare_0074,route_0074,,,
fare_0075,route_0075,,,
fare_0076,route_0076,,,
fare_0077,route_0077,,,
fare_0078,route_0078,,,
fare_0079,route_0079,,,
fare_0080,route_0080,,,
fare_0081,route_0081,,,
fare_0082,route_0082,,,
fare_0083,route_0083,,,
fare_0084,route_0084,,,
fare_0085,route_0085,,,
fare_0086,route_0086,,,
fare_0087,route_0087,,,
fare_0088,route_0088,,,
fare_0089,route_0089,,,
fare_0090,route_0090,,,
fare_0091,route_0091,,,
fare_0092,route_0092,,,
fare_0093,route_0093,,,
fare_0094,route_0094,,,
fare_0095,route_0095,,,
fare_0096,route_0096,,,
fare_0097,route_0097,,,
fare_0098,route_0098,,,
fare_0099,route_0099,,,
fare_0100,route_0100,,,
fare_0101,route_0101,,,
fare_0102,route_0102,,,
fare_0103,route_0103,,,
fare_0104,route_0104,,,
fare_0105,route_0105,,,
fare_0106,route_0106,,,
fare_0107,route_0107,,,
fare_0108,route_0108,,,
fare_0109,route_0109,,,
fare_0110,route_0110,,,
fare_0111,route_0111,,,
fare_0112,route_0112,,,
fare_0113,route_0113,,,
fare_0114,route_0114,,,
fare_0115,route_0115,,,
fare_0116,route_0116,,,
fare_0117,route_0117,,,
fare_0118,route_0118,,,
fare_0119,route_0119,,,
fare_0120,route_0120,,,
fare_0121,route_0121,,,
fare_0122,route_0122,,,
fare_0123,route_0123,,,
fare_0124,route_0124,,,
fare_0125,route_0125,,,
fare_0126,route_0126,,,
fare_0127,route_0127,,,
fare_0128,route_0128,,,
fare_0129,route_0129,,,
fare_0130,route_0130,,,
fare_0131,route_0131,,,
fare_0132,route_0132,,,
fare_0133,route_0133,,,
fare_0134,route_0134,,,
fare_0135,route_0135,,,
fare_0136,route_0136,,,
fare_0137,route_0137,,,
fare_0138,route_0138,,,
fare_0139,route_0139,,,
fare_0140,route_0140,,,
fare_0141,route_0141,,,
fare_0142,route_0142,,,
fare_0143,route_0143,,,
fare_0144,route_0144,,,
fare_0145,route_0145,,,
fare_0146,route_0146,,,
fare_0147,route_0147,,,
fare_0148,route_0148,,,
fare_0149,route_0149,,,
fare_0150,route_0150,,,
fare_0151,route_0151,,,
fare_0152,route_0152,,,
fare_0153,route_0153,,,
fare_0154,route_0154,,,
fare_0155,route_0155,,,
fare_0156,route_0156,,,
fare_0157,route_0157,,,
fare_0158,route_0158,,,
fare_0159,route_0159,,,
fare_0160,route_0160,,,
fare_0161,route_0161,,,
fare_0162,route_0162,,,
fare_0163,route_0163,,,
fare_0164,route_0164,,,
fare_0165,route_0165,,,
fare_0166,route_0166,,,
fare_0167,route_0167,,,
fare_0168,route_0168,,,
fare_0169,route_0169,,,
fare_0170,route_0170,,,
fare_0171,route_0171,,,
fare_0172,route_0172,,,
fare_0173,route_0173,,,
fare_0174,route_0174,,,
fare_0175,route_0175,,,
fare_0176,route_0176,,,
fare_0177,route_0177,,,
fare_0178,route_0178,,,
fare_0179,route_0179,,,
fare_0181,route_0181,,,
fare_0182,route_0182,,,
fare_0183,route_0183,,,
fare_0184,route_0184,,,
fare_0185,route_0185,,,
fare_0186,route_0186,,,
fare_0187,route_0187,,,
fare_0188,route_0188,,,
fare_0189,route_0189,,,
fare_0190,route_0190,,,
fare_0191,route_0191,,,
fare_0192,route_0192,,,
fare_0193,route_0193,,,
fare_0194,route_0194,,,
fare_0195,route_0195,,,
fare_0196,route_0196,,,
fare_0197,route_0197,,,
fare_0198,route_0198,,,
fare_0199,route_0199,,,
fare_0200,route_0200,,,
fare_0201,route_0201,,,
fare_0202,route_0202,,,
fare_0203,route_0203,,,
fare_0204,route_0204,,,
fare_0205,route_0205,,,
fare_0206,route_0206,,,
fare_0207,route_0207,,,
fare_0208,route_0208,,,
fare_0209,route_0209,,,
fare_0210,route_0210,,,
fare_0211,route_0211,,,
fare_0212,route_0212,,,
fare_0213,route_0213,,,
fare_0214,route_0214,,,
fare_0215,route_0215,,,
fare_0216,route_0216,,,
fare_0217,route_0217,,,
fare_0218,route_0218,,,
fare_0219,route_0219,,,
fare_0220,route_0220,,,
fare_0221,route_0221,,,
fare_0222,route_0222,,,
fare_0223,route_0223,,,
fare_0224,route_0224,,,
fare_0225,route_0225,,,
fare_0226,route_0226,,,
fare_0227,route_0227,,,
fare_0228,route_0228,,,
fare_0229,route_0229,,,
fare_0230,route_0230,,,
fare_0231,route_0231,,,
fare_0232,route_0232,,,
fare_0233,route_0233,,,
fare_0234,route_0234,,,
fare_0235,route_0235,,,
fare_0236,route_0236,,,
fare_0237,route_0237,,,
fare_0238,route_0238,,,
fare_0239,route_0239,,,
fare_0240,route_0240,,,
fare_0241,route_0241,,,
fare_0242,route_0242,,,
fare_0243,route_0243,,,
fare_0244,route_0244,,,
fare_0245,route_0245,,,
fare_0246,route_0246,,,
fare_0247,route_0247,,,
fare_0248,route_0248,,,
fare_0249,route_0249,,,
fare_0251,route_0251,,,
fare_0252,route_0252,,,
fare_0253,route_0253,,,
fare_0254,route_0254,,,
fare_0255,route_0255,,,
fare_0256,route_0256,,,
fare_0257,route_0257,,,
fare_0258,route_0258,,,
fare_0259,route_0259,,,
fare_0260,route_0260,,,
fare_0261,route_0261,,,
fare_0262,route_0262,,,
fare_0263,route_0263,,,
fare_0264,route_0264,,,
fare_0265,route_0265,,,
fare_0266,route_0266,,,
fare_0267,route_0267,,,
fare_0268,route_0268,,,
fare_0269,route_0269,,,
fare_0270,route_0270,,,
fare_0271,route_0271,,,
fare_0272,route_0272,,,
fare_0273,route_0273,,,
fare_0274,route_0274,,,
fare_0275,route_0275,,,
fare_0276,route_0276,,,
fare_0277,route_0277,,,
fare_0278,route_0278,,,
fare_0279,route_0279,,,
fare_0280,route_0280,,,
fare_0281,route_0281,,,
fare_0282,route_0282,,,
fare_0283,route_0283,,,
fare_0284,route_0284,,,
fare_0285,route_0285,,,
fare_0286,route_0286,,,
fare_0287,route_0287,,,
fare_0288,route_0288,,,
fare_0289,route_0289,,,
fare_0290,route_0290,,,
fare_0291,route_0291,,,
fare_0292,route_0292,,,
fare_0293,route_0293,,,
fare_0294,route_0294,,,
