trip_id,start_time,end_time,headway_secs,exact_times
trip_0001,16:00:00,18:00:00,900,0
trip_0001,7:00:00,10:00:00,600,0
trip_0001,5:00:00,7:00:00,300,0
trip_0001,10:00:00,16:00:00,300,0
trip_0001,18:00:00,21:00:00,300,0
trip_0002,16:00:00,18:00:00,1200,0
trip_0002,6:00:00,7:00:00,900,0
trip_0002,10:00:00,16:00:00,900,0
trip_0002,18:00:00,21:00:00,900,0
trip_0002,7:00:00,10:00:00,600,0
trip_0003,16:00:00,18:00:00,1200,0
trip_0003,4:00:00,7:00:00,900,0
trip_0003,10:00:00,16:00:00,900,0
trip_0003,18:00:00,21:00:00,900,0
trip_0003,7:00:00,10:00:00,300,0
trip_0004,16:00:00,18:00:00,900,0
trip_0004,4:00:00,7:00:00,600,0
trip_0004,10:00:00,16:00:00,600,0
trip_0004,18:00:00,21:00:00,600,0
trip_0004,7:00:00,10:00:00,300,0
trip_0005,7:00:00,10:00:00,2400,0
trip_0005,5:00:00,7:00:00,1800,0
trip_0005,10:00:00,16:00:00,1800,0
trip_0005,18:00:00,21:00:00,1800,0
trip_0005,16:00:00,18:00:00,1200,0
trip_0006,7:00:00,10:00:00,2400,0
trip_0006,5:00:00,7:00:00,1800,0
trip_0006,10:00:00,16:00:00,1800,0
trip_0006,18:00:00,21:00:00,1800,0
trip_0006,16:00:00,18:00:00,1200,0
trip_0007,5:00:00,7:00:00,1200,0
trip_0007,10:00:00,16:00:00,1200,0
trip_0007,18:00:00,22:00:00,1200,0
trip_0007,7:00:00,10:00:00,600,0
trip_0007,16:00:00,18:00:00,600,0
trip_0008,5:00:00,7:00:00,1200,0
trip_0008,10:00:00,16:00:00,1200,0
trip_0008,18:00:00,21:00:00,1200,0
trip_0008,7:00:00,10:00:00,600,0
trip_0008,16:00:00,18:00:00,600,0
trip_0009,16:00:00,18:00:00,900,0
trip_0009,4:00:00,7:00:00,600,0
trip_0009,10:00:00,16:00:00,600,0
trip_0009,18:00:00,21:00:00,600,0
trip_0009,7:00:00,10:00:00,300,0
trip_0010,16:00:00,18:00:00,900,0
trip_0010,4:00:00,7:00:00,600,0
trip_0010,10:00:00,16:00:00,600,0
trip_0010,18:00:00,21:00:00,600,0
trip_0010,7:00:00,10:00:00,300,0
trip_0011,4:00:00,7:00:00,1200,0
trip_0011,10:00:00,16:00:00,1200,0
trip_0011,18:00:00,22:00:00,1200,0
trip_0011,16:00:00,18:00:00,600,0
trip_0011,7:00:00,10:00:00,300,0
trip_0012,5:00:00,7:00:00,1500,0
trip_0012,10:00:00,16:00:00,1500,0
trip_0012,18:00:00,22:00:00,1500,0
trip_0012,16:00:00,18:00:00,900,0
trip_0012,7:00:00,10:00:00,300,0
trip_0013,16:00:00,18:00:00,600,0
trip_0013,4:00:00,7:00:00,300,0
trip_0013,7:00:00,10:00:00,300,0
trip_0013,10:00:00,16:00:00,300,0
trip_0013,18:00:00,21:00:00,300,0
trip_0014,5:00:00,7:00:00,1200,0
trip_0014,10:00:00,16:00:00,1200,0
trip_0014,18:00:00,21:00:00,1200,0
trip_0014,16:00:00,18:00:00,900,0
trip_0014,7:00:00,10:00:00,600,0
trip_0015,5:00:00,7:00:00,900,0
trip_0015,10:00:00,16:00:00,900,0
trip_0015,18:00:00,21:30:00,900,0
trip_0015,16:00:00,18:00:00,600,0
trip_0015,7:00:00,10:00:00,420,0
trip_0016,5:00:00,7:00:00,900,0
trip_0016,10:00:00,16:00:00,900,0
trip_0016,18:00:00,21:00:00,900,0
trip_0016,16:00:00,18:00:00,720,0
trip_0016,7:00:00,10:00:00,600,0
trip_0017,5:00:00,7:00:00,600,0
trip_0017,10:00:00,16:00:00,600,0
trip_0017,18:00:00,22:00:00,600,0
