route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
route_0001,harare_minibus_01,"","Kilwinning Road to Charge Office",,1501,,4A04C9,000000
route_0002,harare_minibus_01,"","Dzivarasekwa Hub to Glenview 3 Shops",,1501,,C99D04,000000
route_0003,harare_minibus_01,"","Mbare Rank to Stoneridge Park",,1501,,6504C9,000000
route_0004,harare_minibus_01,"","Makoni to Machipisa",,1501,,98C904,000000
route_0005,harare_minibus_01,"","Makoni to Mapuranga Hub",,1501,,C90486,000000
route_0006,harare_minibus_01,"","Fourth Street Rank to Epworth, Dombo Stop Over",,1501,,C904B3,000000
route_0007,harare_minibus_01,"","Charge Office to Seke Chirunga",,1501,,4704C9,000000
route_0008,harare_minibus_01,"","Fourth Street Rank to Pomona",,1501,,65C904,000000
route_0009,harare_minibus_01,"","Parklane Hub to Nyabira",,1501,,C90417,000000
route_0010,harare_minibus_01,"","Mbudzi Round About to Southlands",,1501,,5304C9,000000
route_0011,harare_minibus_01,"","Mbare Hub Rank to Copacabana",,1501,,04C960,000000
route_0012,harare_minibus_01,"","Jacha to Rezende Street South Hub 2",,1501,,C99604,000000
route_0013,harare_minibus_01,"","Copacabana Rank to Gomo Southerton",,1501,,C904BD,000000
route_0014,harare_minibus_01,"","Mapuranga Hub to Mufakose",,1501,,C93304,000000
route_0015,harare_minibus_01,"","Market Square to Budiriro 2",,1501,,04C92C,000000
route_0016,harare_minibus_01,"","Manresa to Fourth Street Rank",,1501,,04C929,000000
route_0017,harare_minibus_01,"","Epworth Munyuki to 4th Street Rank",,1501,,0B04C9,000000
route_0018,harare_minibus_01,"","Mbare Musika to Tatenda Shopping CentreWarren Park",,1501,,C904C4,000000
route_0019,harare_minibus_01,"","Fourth Street Rank to Zimre Park",,1501,,2F04C9,000000
route_0020,harare_minibus_01,"","Fourth Street Rank to Damofalls Phase 5",,1501,,C90494,000000
route_0021,harare_minibus_01,"","Copacabana Rank to Westgate",,1501,,C90456,000000
route_0022,harare_minibus_01,"","Mapuranga Hub to Glenview 3",,1501,,C94804,000000
route_0023,harare_minibus_01,"","Market Square to Ushewekunze",,1501,,C2C904,000000
route_0024,harare_minibus_01,"","Sisonke Shopping Centre Kambuzuma to Copacabana Rank",,1501,,C9042A,000000
route_0025,harare_minibus_01,"","Domboshava to Market Square",,1501,,6AC904,000000
route_0026,harare_minibus_01,"","Mbudzi Round About to Market Square",,1501,,C9044E,000000
route_0027,harare_minibus_01,"","Warren Park D to Nelson Mandela and Chinhoyi Rd Hub",,1501,,04C99D,000000
route_0028,harare_minibus_01,"","Charge Office to Zengeza 5 Pagomba",,1501,,C904C1,000000
route_0029,harare_minibus_01,"","Rydale Ridge to Mbuyanehanda and Chinoyi Rd Hub",,1501,,B704C9,000000
route_0030,harare_minibus_01,"","Ushewekunze to Market Square",,1501,,04C91D,000000
route_0031,harare_minibus_01,"","Challote Brook to 4th Street Rank",,1501,,9D04C9,000000
route_0032,harare_minibus_01,"","Southlea Park to Simon Mazorodze Flyover",,1501,,0442C9,000000
route_0033,harare_minibus_01,"","Waterfalls to Market Square",,1501,,04C96E,000000
route_0034,harare_minibus_01,"","Mbare Rank to Norton",,1501,,0EC904,000000
route_0035,harare_minibus_01,"","Parklane Hub to Westgate",,1501,,0414C9,000000
route_0036,harare_minibus_01,"","Mbuya Nehanda Street to Bloomingdale",,1501,,04C913,000000
route_0037,harare_minibus_01,"","Rezende Rank to Belgravia",,1501,,C99904,000000
route_0038,harare_minibus_01,"","Damofalls Phase 5 to Fourth Street Rank",,1501,,C904A1,000000
route_0039,harare_minibus_01,"","Hatcliffe Hub to Fourth Street Rank",,1501,,C90419,000000
route_0040,harare_minibus_01,"","Dzivarasekwa to Westgate",,1501,,04C97C,000000
route_0041,harare_minibus_01,"","GoodHope to Parklane Hub",,1501,,0442C9,000000
route_0042,harare_minibus_01,"","George Ruwa Hub to Ariel Bus Stop",,1501,,2C04C9,000000
route_0043,harare_minibus_01,"","St Marys to Mapuranga Hub",,1501,,04C94D,000000
route_0044,harare_minibus_01,"","Fourth Street Rank to Hatcliffe",,1501,,04BBC9,000000
route_0045,harare_minibus_01,"","Market Square to Glen Norah B",,1501,,B1C904,000000
route_0046,harare_minibus_01,"","Hatcliff to Copacabana Rank",,1501,,9604C9,000000
route_0047,harare_minibus_01,"","Fourth Street Rank to Philadelphia",,1501,,79C904,000000
route_0048,harare_minibus_01,"","Jason Moyo and Mbuya Nehanda to Bloomingdale",,1501,,04C97F,000000
route_0049,harare_minibus_01,"","Chikwanha to Mbare",,1501,,B804C9,000000
route_0050,harare_minibus_01,"","Chishawasha Hills Hub to Fourth Street Rank",,1501,,24C904,000000
route_0051,harare_minibus_01,"","Fourth Street Rank to Damofalls Phase 3 and 4 Rank",,1501,,0468C9,000000
route_0052,harare_minibus_01,"","Mbare Rank to Machipisa",,1501,,04C4C9,000000
route_0053,harare_minibus_01,"","Dzivarasekwa 4 Hub to Copacabana Rank",,1501,,04C919,000000
route_0054,harare_minibus_01,"","Parirenyatwa to Leopold Takawira Hub",,1501,,04C90B,000000
route_0055,harare_minibus_01,"","Ruwa Pachuru Hub to Chibamu",,1501,,C91404,000000
route_0056,harare_minibus_01,"","Oroman Hub Mbare to Bax Hub Chitungwiza",,1501,,0465C9,000000
route_0057,harare_minibus_01,"","Kamfinsa to Copacabana Rank",,1501,,C9049D,000000
route_0058,harare_minibus_01,"","Forth Street Rank to Eastlea Hub",,1501,,C9044D,000000
route_0059,harare_minibus_01,"","Charge Office to Chitungwiza Makoni",,1501,,6FC904,000000
route_0060,harare_minibus_01,"","Inez Terrace to Msasa",,1501,,C95704,000000
route_0061,harare_minibus_01,"","Mbuya Nehanda Hub to Kuwadzana 7",,1501,,86C904,000000
route_0062,harare_minibus_01,"","Copacabana Rank to Goodhope",,1501,,A304C9,000000
route_0063,harare_minibus_01,"","Msasa to Fourth Street Rank",,1501,,0445C9,000000
route_0064,harare_minibus_01,"","Simon Mazorodze Flyover to Southlea Park",,1501,,9104C9,000000
route_0065,harare_minibus_01,"","Copacabana Rank to Westlea",,1501,,1FC904,000000
route_0066,harare_minibus_01,"","Makoni to Dema",,1501,,C9045B,000000
route_0067,harare_minibus_01,"","Vainona to Fourth Street Rank",,1501,,C9B404,000000
route_0068,harare_minibus_01,"","Mbare Hub to Copacabana Rank",,1501,,C96F04,000000
route_0069,harare_minibus_01,"","Prospect to Copacabana Rank",,1501,,04C95B,000000
route_0070,harare_minibus_01,"","Queensdale Shops to Fourth Street Rank",,1501,,26C904,000000
route_0071,harare_minibus_01,"","Glenorah to Mbare Rank",,1501,,04C7C9,000000
route_0072,harare_minibus_01,"","Simon Mazorodze Flyover to Budiriro",,1501,,5F04C9,000000
route_0073,harare_minibus_01,"","Mbare Zata to Copacabana Rank",,1501,,040CC9,000000
route_0074,harare_minibus_01,"","Market Square to Southlands",,1501,,1DC904,000000
route_0075,harare_minibus_01,"","Parklane Hub to Mount Hampden",,1501,,04A8C9,000000
route_0076,harare_minibus_01,"","Machipisa to Market Square",,1501,,04C9BF,000000
route_0077,harare_minibus_01,"","Hillside to 4th Street Rank",,1501,,C94B04,000000
route_0078,harare_minibus_01,"","Fourth Street Rank to Grey Stone Hub",,1501,,C98D04,000000
route_0079,harare_minibus_01,"","Mapuranga to Simon Mazorodze Flyover",,1501,,04C96B,000000
route_0080,harare_minibus_01,"","Mbuya Nehanda to Westlea",,1501,,C904A6,000000
route_0081,harare_minibus_01,"","Glenview 3 Shopping Centre to Dzivarasekwa 3 Hub",,1501,,C92804,000000
route_0082,harare_minibus_01,"","Copacabana to Warren Park 2",,1501,,BFC904,000000
route_0083,harare_minibus_01,"","Rezende Street South Hub 2 to Jacha",,1501,,3A04C9,000000
route_0084,harare_minibus_01,"","Makoni to Machipisa Nekunze",,1501,,C9047C,000000
route_0085,harare_minibus_01,"","Glenorah to Rezende Street South Hub",,1501,,04B0C9,000000
route_0086,harare_minibus_01,"","Glen Norah B to Copacabana Rank",,1501,,B2C904,000000
route_0087,harare_minibus_01,"","Chitungwiza, Mharapara Road to Chitungwiza Town Centre",,1501,,C95604,000000
route_0088,harare_minibus_01,"","Mufakose to Copabana Rank",,1501,,04C9AE,000000
route_0089,harare_minibus_01,"","Westgate to Dzivarasekwa",,1501,,0E04C9,000000
route_0090,harare_minibus_01,"","Machipisa to Southlands",,1501,,1FC904,000000
route_0091,harare_minibus_01,"","Machipisa Highfield to Southley Park, Seventh Day Adventist",,1501,,5B04C9,000000
route_0092,harare_minibus_01,"","Newlands to Copacabana Rank",,1501,,3604C9,000000
route_0093,harare_minibus_01,"","Copacabana Rank to Kwadzana Extension",,1501,,5204C9,000000
route_0094,harare_minibus_01,"","Mount Hampden to Parklane Hub",,1501,,C91004,000000
route_0095,harare_minibus_01,"","Fourth Street Rank to Manresa",,1501,,C904B3,000000
route_0096,harare_minibus_01,"","Dzivarasekwa Extension to Nelson Mandela",,1501,,0430C9,000000
route_0097,harare_minibus_01,"","Fourth Street Rank to Queensdale Shops",,1501,,C90C04,000000
route_0098,harare_minibus_01,"","Chimbarembare to Charge Office",,1501,,C93A04,000000
route_0099,harare_minibus_01,"","Charge Office to Waterfalls Mainway Meadows",,1501,,04C9BC,000000
route_0100,harare_minibus_01,"","Simon Mazorodze to Glen Norah",,1501,,6404C9,000000
route_0101,harare_minibus_01,"","Domboshava to Nelson Mandela Chinoyi Road Hub",,1501,,9104C9,000000
route_0102,harare_minibus_01,"","Mbuya Nehanda to Ashdown Park",,1501,,A3C904,000000
route_0103,harare_minibus_01,"","Copacabana Rank to Westgate Red Roof",,1501,,04C907,000000
route_0104,harare_minibus_01,"","Market Square to Southerton",,1501,,C91604,000000
route_0105,harare_minibus_01,"","Mt Pleasant Heights Bus Stop to Copacabana Rank",,1501,,6204C9,000000
route_0106,harare_minibus_01,"","Riverton to Fourth Street Rank",,1501,,04C90F,000000
route_0107,harare_minibus_01,"","Makoni to St Mary's",,1501,,1BC904,000000
route_0108,harare_minibus_01,"","Machipisa to Westgate Roundabout",,1501,,C004C9,000000
route_0109,harare_minibus_01,"","Dzivarasekwa 3 Hub to Machipisa",,1501,,0491C9,000000
route_0110,harare_minibus_01,"","Copacabana Rank to Mt Pleasant Heights",,1501,,04C94E,000000
route_0111,harare_minibus_01,"","Rezende Street South Hub to Glenorah",,1501,,A904C9,000000
route_0112,harare_minibus_01,"","Fourth Street Rank to Vainona",,1501,,040AC9,000000
route_0113,harare_minibus_01,"","Pomona to Fourth Street Rank",,1501,,04B1C9,000000
route_0114,harare_minibus_01,"","Southlea Park to Mbudzi Round About",,1501,,A3C904,000000
route_0115,harare_minibus_01,"","Budiriro 2 ZRP to Market Square",,1501,,7C04C9,000000
route_0116,harare_minibus_01,"","Fourth Street Rank to Damofalls Phase 1 and 2 Pamusasa Bus Stop",,1501,,C1C904,000000
route_0117,harare_minibus_01,"","Fourth Street Rank to Msasa Park",,1501,,65C904,000000
route_0118,harare_minibus_01,"","Flyover to Makoni Rank",,1501,,6104C9,000000
route_0119,harare_minibus_01,"","Ruwa to Fourth Street Rank",,1501,,04C989,000000
route_0120,harare_minibus_01,"","Westgate to Jason Moyo Cnr Mbuya Nehanda",,1501,,04C91A,000000
route_0121,harare_minibus_01,"","Mbuya Nehanda Hub to Kuwadzana Phase 3",,1501,,04C997,000000
route_0122,harare_minibus_01,"","Dema to Makoni",,1501,,C9B804,000000
route_0123,harare_minibus_01,"","Southlea Park to Market Square",,1501,,31C904,000000
route_0124,harare_minibus_01,"","Rezende Rank to Glen Norah Wedza Hub",,1501,,C91A04,000000
route_0125,harare_minibus_01,"","Samora Machel Avenue and Chinhoyi Rd Hub to Rydale Ridge",,1501,,04C9C5,000000
route_0126,harare_minibus_01,"","Norton to Copacabana Rank",,1501,,C94E04,000000
route_0127,harare_minibus_01,"","Westgate to Parklane Hub",,1501,,42C904,000000
route_0128,harare_minibus_01,"","Budiriro 4 to Market Square",,1501,,0429C9,000000
route_0129,harare_minibus_01,"","Sally Mugabe to Fourth Street Rank",,1501,,C90437,000000
route_0130,harare_minibus_01,"","Waterfalls Mainway Meadows to Mbare Rank",,1501,,C90474,000000
route_0131,harare_minibus_01,"","Makoni to Ziko",,1501,,045BC9,000000
route_0132,harare_minibus_01,"","Ziko to Charge office",,1501,,04C3C9,000000
route_0133,harare_minibus_01,"","Inez Terrace to Ruwa",,1501,,C90425,000000
route_0134,harare_minibus_01,"","Fourth Street to Damofalls Phase 1 and 2 Pamusasa Rank",,1501,,A0C904,000000
route_0135,harare_minibus_01,"","Zimre Park to Fourth Street Rank",,1501,,C904B2,000000
route_0136,harare_minibus_01,"","Greendale to Fourth Street Rank",,1501,,C91604,000000
route_0137,harare_minibus_01,"","Machipisa Nekunze to Makoni Hub",,1501,,04C9C6,000000
route_0138,harare_minibus_01,"","St Marys to Makoni Hub",,1501,,0426C9,000000
route_0139,harare_minibus_01,"","Market Square to Budiriro 4 & 5",,1501,,0406C9,000000
route_0140,harare_minibus_01,"","Westgate to Warren Park",,1501,,5F04C9,000000
route_0141,harare_minibus_01,"","Machipisa Hub to Copacabana Rank",,1501,,5F04C9,000000
route_0142,harare_minibus_01,"","Town Center to Charge Office",,1501,,5B04C9,000000
route_0143,harare_minibus_01,"","Hatfield Twentydales to Charge Office",,1501,,C90404,000000
route_0144,harare_minibus_01,"","Fourth Street Rank to Kamfinsa",,1501,,2904C9,000000
route_0145,harare_minibus_01,"","Machipisa to Kuwadzana 4 Shops Hub",,1501,,4604C9,000000
route_0146,harare_minibus_01,"","Copacabana Rank to Newlands",,1501,,50C904,000000
route_0147,harare_minibus_01,"","Belgravia to Rezende Rank",,1501,,04C982,000000
route_0148,harare_minibus_01,"","Kuwadzana 4 Shops Hub to Mbare Rank",,1501,,C9041A,000000
route_0149,harare_minibus_01,"","Warren Park 1 to Mbuya Nehanda",,1501,,C90412,000000
route_0150,harare_minibus_01,"","Damofalls Phase 1 and 2 Pamusasa Bus Stop to Fourth Street Rank",,1501,,0433C9,000000
route_0151,harare_minibus_01,"","Ariel Bus Stop to George Hub",,1501,,C904BA,000000
route_0152,harare_minibus_01,"","Mbare Rank to Kuwadzana",,1501,,C90496,000000
route_0153,harare_minibus_01,"","Chikwanha to Makoni",,1501,,7A04C9,000000
route_0154,harare_minibus_01,"","Rhodesville to Fourth Street Rank",,1501,,04C98C,000000
route_0155,harare_minibus_01,"","Market Square to Domboshava",,1501,,C90E04,000000
route_0156,harare_minibus_01,"","Glenlorne to Fourth Street Rank",,1501,,C90496,000000
route_0157,harare_minibus_01,"","Southlands to Machipisa",,1501,,04C972,000000
route_0158,harare_minibus_01,"","Simon Mazorodze Flyover to Rezende Hub 2",,1501,,04C9C7,000000
route_0159,harare_minibus_01,"","Charge Office to Ziko",,1501,,15C904,000000
route_0160,harare_minibus_01,"","Gomo Southerton to Copacabana Rank",,1501,,C98F04,000000
route_0161,harare_minibus_01,"","Town Centre to Chitungwiza Hospital Hub",,1501,,04C923,000000
route_0162,harare_minibus_01,"","Goodhope to Copacabana Rank",,1501,,58C904,000000
route_0163,harare_minibus_01,"","Total Chinhoyi Street to Mufakose",,1501,,C9BC04,000000
route_0164,harare_minibus_01,"","Mutangadura to Ruwa Pachuru Hub",,1501,,C904B6,000000
route_0165,harare_minibus_01,"","Nelson Mandela to Dzivarasekwa Extension",,1501,,35C904,000000
route_0166,harare_minibus_01,"","Warren Park 2 to Copacabana Rank",,1501,,C9043D,000000
route_0167,harare_minibus_01,"","Fourth Street Rank to Domboshava",,1501,,C904B1,000000
route_0168,harare_minibus_01,"","Damafalls to Mabvuku Hub",,1501,,0462C9,000000
route_0169,harare_minibus_01,"","Inez Terrace Hub to Mabvuku Pakamunhu Hub",,1501,,C90474,000000
route_0170,harare_minibus_01,"","Southlea Park to Mbare Rank",,1501,,04C906,000000
route_0171,harare_minibus_01,"","Fourth Street Rank to Msasa",,1501,,C96604,000000
route_0172,harare_minibus_01,"","Mbare Rank to Chitungwiza Hospital Hub",,1501,,04C991,000000
route_0173,harare_minibus_01,"","Copacabana Rank to Mbare Zata",,1501,,6804C9,000000
route_0174,harare_minibus_01,"","Mbare Rank to Mereki",,1501,,1D04C9,000000
