trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
trip_0001,14:13:54,14:13:54,stop_0632,1,"",,,
trip_0001,14:18:32,14:18:32,stop_1319,2,"",,,
trip_0001,14:28:37,14:28:37,stop_1004,3,"",,,
trip_0001,14:32:11,14:32:11,stop_1376,4,"",,,
trip_0001,14:33:57,14:33:57,stop_0807,5,"",,,
trip_0001,14:35:42,14:35:42,stop_0120,6,"",,,
trip_0002,14:13:54,14:13:54,stop_0632,1,"",,,
trip_0002,14:18:32,14:18:32,stop_1319,2,"",,,
trip_0002,14:28:37,14:28:37,stop_1004,3,"",,,
trip_0002,14:32:11,14:32:11,stop_1376,4,"",,,
trip_0002,14:33:57,14:33:57,stop_0807,5,"",,,
trip_0002,14:35:42,14:35:42,stop_0120,6,"",,,
trip_0003,13:25:34,13:25:34,stop_1666,1,"",,,
trip_0003,13:38:11,13:38:11,stop_1291,2,"",,,
trip_0003,13:48:38,13:48:38,stop_0241,3,"",,,
trip_0003,13:53:35,13:53:35,stop_1695,4,"",,,
trip_0003,14:06:07,14:06:07,stop_1037,5,"",,,
trip_0003,14:19:56,14:19:56,stop_0932,6,"",,,
trip_0004,13:25:34,13:25:34,stop_1666,1,"",,,
trip_0004,13:38:11,13:38:11,stop_1291,2,"",,,
trip_0004,13:48:38,13:48:38,stop_0241,3,"",,,
trip_0004,13:53:35,13:53:35,stop_1695,4,"",,,
trip_0004,14:06:07,14:06:07,stop_1037,5,"",,,
trip_0004,14:19:56,14:19:56,stop_0932,6,"",,,
trip_0005,11:10:08,11:10:08,stop_0594,1,"",,,
trip_0005,11:27:04,11:27:04,stop_0202,2,"",,,
trip_0005,11:51:49,11:51:49,stop_0078,3,"",,,
trip_0006,11:10:08,11:10:08,stop_0594,1,"",,,
trip_0006,11:27:04,11:27:04,stop_0202,2,"",,,
trip_0006,11:51:49,11:51:49,stop_0078,3,"",,,
trip_0007,13:12:57,13:12:57,stop_2224,1,"",,,
trip_0007,13:25:29,13:25:29,stop_1002,2,"",,,
