stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
hub_0001,,"Bridge","",-17.99110031,31.02183914,,,1,,,
hub_0002,,"Herentals Turnoff","",-17.83594513,31.19203377,,,1,,,
hub_0003,,"Bus Stop","",-17.89583778,31.21747589,,,1,,,
hub_0004,,"Glen Norah Shops","",-17.90209579,30.96469879,,,1,,,
hub_0005,,"Magnum Tyres","",-17.99189186,31.05000877,,,1,,,
hub_0006,,"Hatcliff 2nd Bus Stop","",-17.66338348,31.08366394,,,1,,,
hub_0007,,"Community Medical Clinic","",-18.00206375,31.0612545,,,1,,,
hub_0008,,"Croco Motors","",-17.84338951,31.05014229,,,1,,,
hub_0009,,"Accolade Academy","",-17.99522018,31.05148697,,,1,,,
hub_0010,,"Airport Hub","",-17.91183472,31.0951004,,,1,,,
hub_0011,,"Apostolic Church of Christ","",-18.02215004,31.12126923,,,1,,,
hub_0012,,"Arcturus","",-17.77828598,31.31678391,,,1,,,
hub_0013,,"ARDA Dairy","",-17.97930717,31.02182007,,,1,,,
hub_0014,,"Argyle Apartments Bus Stop","",-17.80316162,31.03268242,,,1,,,
hub_0015,,"Ariel Bus Stop","",-17.86539078,31.29123688,,,1,,,
hub_0016,,"Arundel Pick n Pay","",-17.76283455,31.05184174,,,1,,,
hub_0017,,"Ashdown Park Shops","",-17.79191017,30.98149872,,,1,,,
hub_0018,,"Avondale Shopping Centre","",-17.80335617,31.03717804,,,1,,,
hub_0019,,"B and P Study Centre","",-17.99978447,31.07517433,,,1,,,
hub_0020,,"Good Shepherd Recordz","",-17.89554977,30.94709015,,,1,,,
hub_0021,,"Barclays Bank, Paisley Road","",-17.85327721,31.02603912,,,1,,,
hub_0022,,"Barracks, Kirkman Road","",-17.78228951,30.92798042,,,1,,,
hub_0023,,"KFC, Belgravia","",-17.79397392,31.04499626,,,1,,,
hub_0024,,"Belvedere Shopping Centre","",-17.81942749,31.02403259,,,1,,,
hub_0025,,"Helensvale Shopping Centre","",-17.73737717,31.10232735,,,1,,,
hub_0026,,"Charge Office","",-17.8340435,31.04892159,,,1,,,
hub_0027,,"Inez Terrace Hub","",-17.83271408,31.04816055,,,1,,,
hub_0028,,"Chinhoyi Street Hub","",-17.83303261,31.04341507,,,1,,,
hub_0029,,"Chishawasha Hills Hub","",-17.76393318,31.17228508,,,1,,,
hub_0030,,"Chisipite Shops Bus Stop","",-17.78257179,31.11812019,,,1,,,
hub_0031,,"Chitungwiza Hospital Hub","",-18.01546478,31.06209946,,,1,,,
hub_0032,,"Chitungwiza, Padudzai","",-18.01799202,31.07610512,,,1,,,
hub_0033,,"Chiwawa Southlands","",-17.9583683,31.01592827,,,1,,,
hub_0034,,"Corner First Street & Bulawayo Rd","",-17.8193512,30.9172039,,,1,,,
hub_0035,,"Rhodesville","",-17.82062912,31.10153961,,,1,,,
hub_0036,,"Corner Chiremba Rd & Overspill Rd","",-17.89084053,31.1322422,,,1,,,
hub_0037,,"Dzivarasekwa","",-17.79881859,30.93049812,,,1,,,
hub_0038,,"Rezende Hub 2","",-17.83353806,31.04562569,,,1,,,
hub_0039,,"Corner Fleming Rd & Lyndon Moore Rd","",-17.86476135,31.00634003,,,1,,,
hub_0040,,"Corner Jason Moyo and Mbuya Nehanda Street","",-17.8312645,31.04261017,,,1,,,
hub_0041,,"Newlands Bus Stop","",-17.80147171,31.08734703,,,1,,,
hub_0042,,"Corner Riverton Road and Pringle Road","",-17.79294777,31.15786743,,,1,,,
hub_0043,,"Corner Saint Patricks's Road and Twentydales Road","",-17.87366867,31.09582329,,,1,,,
hub_0044,,"Damafalls","",-17.85918808,31.23963928,,,1,,,
hub_0045,,"Damofalls Phase 5","",-17.85484886,31.23909569,,,1,,,
hub_0046,,"Damofalls Phase 3 and 4","",-17.85961342,31.23218346,,,1,,,
hub_0047,,"Dema Shops","",-18.0804615,31.21879196,,,1,,,
hub_0048,,"Dombo Ramwari Shops","",-17.90337563,31.14600754,,,1,,,
