trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
trip_0001,route_0001,service_0002,Charge Office,"Weekdays",,,shape_0001,
trip_0002,route_0001,service_0001,Charge Office,"Weekends",,,shape_0001,
trip_0003,route_0002,service_0002,Glenview 3 shops,"Weekdays",,,shape_0002,
trip_0004,route_0002,service_0001,Glenview 3 shops,"Weekends",,,shape_0002,
trip_0005,route_0003,service_0002,Stoneridge Park,"Weekdays",,,shape_0003,
trip_0006,route_0003,service_0001,Stoneridge Park,"Weekends",,,shape_0003,
trip_0007,route_0004,service_0002,Machipisa,"Weekdays",,,shape_0004,
trip_0008,route_0004,service_0001,Machipisa,"Weekends",,,shape_0004,
trip_0009,route_0005,service_0002,Mapuranga Hub,"Weekdays",,,shape_0005,
trip_0010,route_0005,service_0001,Mapuranga Hub,"Weekends",,,shape_0005,
trip_0011,route_0006,service_0002,Reuben Shopping Center,"Weekdays",,,shape_0006,
trip_0012,route_0006,service_0001,Reuben Shopping Center,"Weekends",,,shape_0006,
trip_0013,route_0007,service_0002,Chirunga,"Weekdays",,,shape_0007,
trip_0014,route_0007,service_0001,Chirunga,"Weekends",,,shape_0007,
trip_0015,route_0008,service_0002,Pomona Dump Site,"Weekdays",,,shape_0008,
trip_0016,route_0008,service_0001,Pomona Dump Site,"Weekends",,,shape_0008,
trip_0017,route_0009,service_0002,Nyabira,"Weekdays",,,shape_0009,
trip_0018,route_0009,service_0001,Nyabira,"Weekends",,,shape_0009,
trip_0019,route_0010,service_0002,Chiwawa Kiosk,"Weekdays",,,shape_0010,
trip_0020,route_0010,service_0001,Chiwawa Kiosk,"Weekends",,,shape_0010,
trip_0021,route_0011,service_0002,Copacabana Rank,"Weekdays",,,shape_0011,
trip_0022,route_0011,service_0001,Copacabana Rank,"Weekends",,,shape_0011,
trip_0023,route_0012,service_0002,Corner Rezende Street South and Charter Road,"Weekdays",,,shape_0012,
trip_0024,route_0012,service_0001,Corner Rezende Street South and Charter Road,"Weekends",,,shape_0012,
trip_0025,route_0013,service_0002,Gomo Southerton,"Weekdays",,,shape_0013,
trip_0026,route_0013,service_0001,Gomo Southerton,"Weekends",,,shape_0013,
trip_0027,route_0014,service_0002,"Mhishi Shopping Centre, Mufakose","Weekdays",,,shape_0014,
trip_0028,route_0014,service_0001,"Mhishi Shopping Centre, Mufakose","Weekends",,,shape_0014,
