trip_id,start_time,end_time,headway_secs
taxi_KA021_R (19-00-00),19:00:00,23:00:00,466
taxi_KA021_R (17-00-00),17:00:00,19:00:00,466
taxi_KA021_R (15-00-00),15:00:00,17:00:00,466
taxi_KA021_R (13-00-00),13:00:00,15:00:00,466
taxi_KA021_R (11-00-00),11:00:00,13:00:00,466
taxi_KA021_R (09-00-00),09:00:00,11:00:00,466
taxi_KA021_R (08-00-00),08:00:00,09:00:00,466
taxi_KA021_R (06-30-00),06:30:00,08:00:00,466
taxi_KA130_O (19-00-00),19:00:00,23:00:00,466
taxi_KA130_O (17-00-00),17:00:00,19:00:00,466
taxi_KA130_O (15-00-00),15:00:00,17:00:00,466
taxi_KA130_O (13-00-00),13:00:00,15:00:00,466
taxi_KA130_O (11-00-00),11:00:00,13:00:00,466
taxi_KA130_O (09-00-00),09:00:00,11:00:00,466
taxi_KA130_O (08-00-00),08:00:00,09:00:00,466
taxi_KA130_O (06-30-00),06:30:00,08:00:00,466
taxi_IC058_O (19-00-00),19:00:00,23:00:00,830
taxi_IC058_O (17-00-00),17:00:00,19:00:00,790
taxi_IC058_O (15-00-00),15:00:00,17:00:00,762
taxi_IC058_O (13-00-00),13:00:00,15:00:00,770
taxi_IC058_O (11-00-00),11:00:00,13:00:00,814
taxi_IC058_O (09-00-00),09:00:00,11:00:00,895
taxi_IC058_O (08-00-00),08:00:00,09:00:00,948
taxi_IC058_O (06-30-00),06:30:00,08:00:00,830
bus_IC092_R (19-00-00),19:00:00,23:00:00,878
bus_IC092_R (17-00-00),17:00:00,19:00:00,663
bus_IC092_R (15-00-00),15:00:00,17:00:00,723
bus_IC092_R (13-00-00),13:00:00,15:00:00,829
bus_IC092_R (11-00-00),11:00:00,13:00:00,980
bus_IC092_R (09-00-00),09:00:00,11:00:00,1178
bus_IC092_R (08-00-00),08:00:00,09:00:00,878
bus_IC092_R (06-30-00),06:30:00,08:00:00,878
taxi_KA100_R (19-00-00),19:00:00,23:00:00,184
taxi_KA100_R (17-00-00),17:00:00,19:00:00,751
taxi_KA100_R (15-00-00),15:00:00,17:00:00,90
taxi_KA100_R (13-00-00),13:00:00,15:00:00,90
taxi_KA100_R (11-00-00),11:00:00,13:00:00,90
taxi_KA100_R (09-00-00),09:00:00,11:00:00,576
taxi_KA100_R (08-00-00),08:00:00,09:00:00,184
taxi_KA100_R (06-30-00),06:30:00,08:00:00,184
taxi_IC159_O (19-00-00),19:00:00,23:00:00,1984
taxi_IC159_O (17-00-00),17:00:00,19:00:00,2467
taxi_IC159_O (15-00-00),15:00:00,17:00:00,2787
taxi_IC159_O (13-00-00),13:00:00,15:00:00,2690
taxi_IC159_O (11-00-00),11:00:00,13:00:00,2173
taxi_IC159_O (09-00-00),09:00:00,11:00:00,1239
taxi_IC159_O (08-00-00),08:00:00,09:00:00,614
taxi_IC159_O (06-30-00),06:30:00,08:00:00,1984
taxi_IC118_R (19-00-00),19:00:00,23:00:00,466
taxi_IC118_R (17-00-00),17:00:00,19:00:00,466
taxi_IC118_R (15-00-00),15:00:00,17:00:00,466
taxi_IC118_R (13-00-00),13:00:00,15:00:00,466
taxi_IC118_R (11-00-00),11:00:00,13:00:00,466
taxi_IC118_R (09-00-00),09:00:00,11:00:00,466
taxi_IC118_R (08-00-00),08:00:00,09:00:00,466
taxi_IC118_R (06-30-00),06:30:00,08:00:00,466
taxi_IC179_R (19-00-00),19:00:00,23:00:00,295
taxi_IC179_R (17-00-00),17:00:00,19:00:00,295
taxi_IC179_R (15-00-00),15:00:00,17:00:00,224
taxi_IC179_R (13-00-00),13:00:00,15:00:00,181
taxi_IC179_R (11-00-00),11:00:00,13:00:00,195
