route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
bus_IC026,bus,IC026,Mukono Taxi Park-Old Taxi Park,,3,,,
bus_IC027,bus,IC027,Mukono Taxi Park-Old Taxi Park,,3,,,
bus_IC030,bus,IC030,Old Taxi Park-Seeta Stage,,3,,,
bus_IC033,bus,IC033,Old Taxi Park-Zana Stage,,3,,,
bus_IC060,bus,IC060,New Taxi Park-Zana Stage,,3,,,
bus_IC069,bus,IC069,Abayita Ababiri-New Taxi Park,,3,,,
bus_IC085,bus,IC085,Abayita Ababiri-Kisenyi,,3,,,
bus_IC092,bus,IC092,City Square-Gayaza Taxi Park,,3,,,
bus_IC093,bus,IC093,City Square-Gayaza Taxi Park,,3,,,
bus_IC094,bus,IC094,Gayaza Taxi Park-Watoto Stage,,3,,,
bus_IC106,bus,IC106,Entebbe Taxi Stage Nasser Road-Kitoro Taxi Park,,3,,,
bus_IC111,bus,IC111,Kajjansi Stage-Usafi Taxi Park,,3,,,
bus_IC113,bus,IC113,Entebbe Taxi Stage Nasser Road-Kajjansi Stage,,3,,,
bus_IC126,bus,IC126,Namugongo-Ntinda,,3,,,
bus_IC128,bus,IC128,Busabala Kategule Stage-Busabala Stage,,3,,,
bus_IC130,bus,IC130,Bweyogerere-Total Jinja Road,,3,,,
bus_IC133,bus,IC133,Usafi Taxi Park-Zana Stage,,3,,,
bus_IC148,bus,IC148,Kobil Kibuye Taxi Park-One Love Beach Stage,,3,,,
bus_IC155,bus,IC155,Bweyogerere-City Square,,3,,,
bus_IC156,bus,IC156,Bweyogerere-City Square,,3,,,
bus_IC157,bus,IC157,Bweyogerere-City Square,,3,,,
bus_IC158,bus,IC158,Bweyogerere-City Square,,3,,,
bus_IC159,bus,IC159,City Square-Namugongo,,3,,,
bus_IC163,bus,IC163,City Square-Kasangati,,3,,,
bus_KA086,bus,KA086,Kibumbiro Stage Busega-New Taxi Park,,3,,,
bus_KA087,bus,KA087,Kibumbiro Stage Busega-New Taxi Park,,3,,,
bus_KA136,bus,KA136,City Square-Kirombe Taxi Stage,,3,,,
bus_KA137,bus,KA137,City Square-Kirombe Taxi Stage,,3,,,
taxi_IC001,taxi,IC001,Bwaise-Matugga Stage,,3,,,
taxi_IC002,taxi,IC002,Bwaise-Mukono Taxi Park,,3,,,
taxi_IC003,taxi,IC003,Bwaise-Mukono Taxi Park,,3,,,
taxi_IC004,taxi,IC004,Bwaise-Wakiso,,3,,,
taxi_IC005,taxi,IC005,Bwaise-Wakiso,,3,,,
taxi_IC006,taxi,IC006,Bwaise-Bweyogerere,,3,,,
taxi_IC007,taxi,IC007,Bwaise-Kavule Taxi Stage,,3,,,
taxi_IC008,taxi,IC008,Bwaise-Namboole,,3,,,
taxi_IC009,taxi,IC009,Bwaise-Katooke,,3,,,
taxi_IC010,taxi,IC010,Gayaza Taxi Park-Kalerwe Taxi Park,,3,,,
taxi_IC011,taxi,IC011,Kalerwe Taxi Park-Wakiso,,3,,,
taxi_IC012,taxi,IC012,Kalerwe Taxi Park-Kitezi Town,,3,,,
taxi_IC013,taxi,IC013,Kalerwe Taxi Park-Kitezi Town,,3,,,
taxi_IC014,taxi,IC014,Makarere University Main Gate-Nansana Yesu Amala Stage,,3,,,
taxi_IC015,taxi,IC015,Kireka Stage-Wandegeya,,3,,,
taxi_IC016,taxi,IC016,Gayaza Taxi Park-Old Taxi Park,,3,,,
taxi_IC017,taxi,IC017,Gayaza Taxi Park-Old Taxi Park,,3,,,
taxi_IC018,taxi,IC018,Gayaza Taxi Park-Old Taxi Park,,3,,,
taxi_IC019,taxi,IC019,Kira Town-Old Taxi Park,,3,,,
taxi_IC020,taxi,IC020,Kitoro Taxi Park-Old Taxi Park,,3,,,
taxi_IC021,taxi,IC021,Kyaliwajjala-Old Taxi Park,,3,,,
taxi_IC022,taxi,IC022,Kyaliwajjala-Old Taxi Park,,3,,,
taxi_IC023,taxi,IC023,Kyaliwajjala-Old Taxi Park,,3,,,
taxi_IC024,taxi,IC024,Matugga Stage-Old Taxi Park,,3,,,
taxi_IC025,taxi,IC025,Matugga Stage-Old Taxi Park,,3,,,
