stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
rivals.pinches.humidity,Hotel Lavener (Lungujja),,0.31305,32.5446,,,
dragonfly.shoelaces.writing,Mbubi,,0.30516,32.54808,,,
deck.intruding.copiers,Free Zone Bar,,0.30438,32.54613,,,
promise.icons.employers,Lusaze Stage,,0.32183,32.54408,,,
glitter.variously.colleague,Nateete Pacify Shopping Centre,,0.30293,32.54234,,,
baseline.twinkling.third,Total - Nguvu Coffee,,0.30106,32.53729,,,
swooned.mixed.ticket,Wakaliga Rd - Kamanya Rd Jct,,0.30184,32.5394,,,
relief.elsewhere.swing,Mugwanya Rd Y Intersection,,0.30496,32.55082,,,
subway.bowhead.instructs,Adrikos Distilling Industry,,0.31753,32.5413,,,
whiplash.prop.marathon,Lusaze Graveyard,,0.32014,32.54248,,,
overhaul.headless.hinders,Rakai Shopping Centre,,0.31911,32.54169,,,
chosen.mealtime.corn,Kabaga Stage,,0.4227,32.56049,,,
ranted.whistling.smoke,Kosovo Lungujja,,0.31655,32.54201,,,
wiggles.situation.sings,Crystal Valley Hotel (Sentema Rd),,0.31777,32.55064,,,
majoring.warm.taster,Glory Education Centre (Sentema Rd),,0.31902,32.54879,,,
formless.protected.balancing,Lungujja Progressive Nursery School,,0.31595,32.54247,,,
seasick.redeemed.shopper,Kitakule Rd,,0.31899,32.55169,,,
irritable.trend.snowboard,Marvin Crib,,0.32042,32.54644,,,
cats.tweezers.probing,Kalifornia Guest House,,0.31985,32.54743,,,
acclaimed.detail.loses,Nateete Taxi Park,,0.30101,32.52822,,,
skirt.under.extension,Uganda Protestant Medical Bureau,,0.31524,32.55747,,,
replenish.thuds.apart,Silverton Bar And Restaurant - Paradise Nursery School,,0.31667,32.55238,,,
beams.thing.picturing,Auntie Claire's Kindergaten,,0.31598,32.55315,,,
importers.fondest.bands,Kitakule Rd - Mutesa 1 Rd Jct,,0.31847,32.55557,,,
moth.tinkle.vandalism,Mengo Hospital,,0.31203,32.55741,,,
symphonic.charcoal.camcorder,Mambo Boda Boda,,0.31311,32.55535,,,
picturing.brothers.circulate,Kaki Fuel Station (Sentema Rd),,0.31128,32.55686,,,
surprise.form.guidebook,Petrocity (Nateete),,0.30228,32.54059,,,
small.resonated.lushly,Ndejje University (Sentema Rd),,0.31219,32.55608,,,
candidate.club.steers,Nateete Fuel Station (Sasaka Rd),,0.29875,32.53466,,,
merge.outwards.hopefully,Nateete Taxi Park,,0.30165,32.52775,,,
busters.starter.couriers,Ndejje University (Kampala Branch),,0.31171,32.55743,,,
socialite.dancer.betraying,Nateete Town Mosque (Masaka Rd),,0.29795,32.53719,,,
forecast.equipment.greed,Nateete Market,,0.29966,32.53324,,,
bolsters.standards.idea,Petrocity (Nateete),,0.30016,32.53468,,,
nutty.ruffle.grow,Kingdom Supermarket (Kabuusu Rd),,0.30116,32.5575,,,
burglars.invest.joins,Kabuusu Roundabout - Stensera Rd,,0.29849,32.55546,,,
oddly.tagging.clinking,Dtb Banks Ndeeba,,0.29416,32.55955,,,
roofs.projects.pods,Ndeeba Banks,,0.29348,32.56276,,,
about.ships.shadowing,Masaka Rd - Mackay Rd Jct,,0.29994,32.53182,,,
lemmings.skips.reactions,Kabuusu,,0.29445,32.55224,,,
lingering.laying.utter,Nalukolongo Market,,0.29677,32.54185,,,
chase.octagonal.diverged,Musigula (Masaka Rd),,0.29506,32.54848,,,
footballers.fictional.seated,Step By Step Primary School,,0.31427,32.55446,,,
vine.hogs.plankton,Kabuusu Rd - Gomotoka Rd Jct,,0.29716,32.55436,,,
studs.insect.curly,Africana Super Market (Rubaga Rd),,0.30469,32.55794,,,
pampered.tenure.sensibly,Lubaga Hospital,,0.30512,32.55283,,,
regime.glassware.collected,Sure Petrol Station (Nalukolongo),,0.29565,32.54622,,,
squirted.juniors.count,Wandegeya Police Station - Roundabout,,0.33012,32.57407,,,
mended.split.tungsten,Wandegeya - Ntinda Taxi (Nkiizi Rd),,0.33128,32.57486,,,
frown.lifeguard.zapped,Ministry of Public Service (Buganda Rd),,0.33142,32.57637,,,
contact.shoving.shadowed,Ministry of Public Service (Haji Musa Kasule Rd),,0.33227,32.57602,,,
veto.swimsuits.unveils,Wandegeya Police Station - Roundabout,,0.33024,32.5741,,,
steeped.performs.equipment,Wandegeya - Ntinda Taxi (Nkiizi Rd),,0.33142,32.57488,,,
subsystem.awards.column,Ministry of Public Service (Haji Musa Kasule Rd),,0.33229,32.57594,,,
bulges.mango.quietest,Mulago Hospital (Yusuf Lule Rd),,0.33679,32.57516,,,
asserts.sleepers.summaries,Mulago Hospital Taxi,,0.33525,32.57771,,,
puncture.twitches.coil,Mulago Roundabout,,0.33375,32.57717,,,
admits.clearcut.gave,Mulago Hospital Taxi,,0.3352,32.57784,,,
places.rekindle.unwell,Petro City (Nabunya - Ndeeba),,0.2942,32.55777,,,
moves.musician.sunblock,Mulago Roundabout,,0.33378,32.57679,,,
searcher.swim.motel,Uganda National Roads Authority,,0.33176,32.57788,,,
dignitary.ecologist.quest,Ministry of Health,,0.33195,32.57961,,,
strutting.escalates.obtain,Ministry of Health,,0.33185,32.57955,,,
tilting.scrambles.taller,Nansana Market,,0.36663,32.52445,,,
toys.primed.fluctuate,Oilcom Fuel Station Nansana,,0.35792,32.53295,,,
thatched.engaging.closes,Nabweru,,0.3588,32.53228,,,
careless.tonality.migrants,Badru,,0.35198,32.53743,,,
