route_id,agency_id,route_short_name,route_long_name,route_type
10000107D11,UON,107D,Ruaka-Ruiru,3
10000114011,UON,114R,Ngara-Rwaka-Ndenderu-Limuru,3
10000116011,UON,116,Koja-Ngara-Banana-Limuru,3
10100011A11,UON,11A,Odeon-Aga Khan-Highridge,3
10200010811,UON,108,UN-New Muthaiga-Gachie-Gichagi,3
10300011F11,UON,11B,Odeon-UN-Ruaka,3
10300106011,UON,106,Koja-UN-Ruaka-Banana,3
10400010711,UON,107,Odeon-UN-Ruaka-Ndenderu,3
20000002311,UON,23W,Nation Building-Museum Hill-Graffins College-Westlands,3
20000004511,UON,45K,Odeon-Pangani-Roysabu-Githurai-KU,3
20000004512,UON,45G,Munyu Road-Pangani-Roysabu-Githurai,3
20000004513,UON,45P,Githurai-Proggie,3
20000145011,UON,145,Munyu Road-Pangani-Roysambu-Githurai-KU-Ruiru,3
20000237011,UON,237,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru-Juja-Thika,3
20100010011,UON,100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,3
20100012011,UON,120,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Githunguri,3
20100012111,UON,121, Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Ndumberi,3
20100100A11,UON,100A,Ngara-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu Hospital,3
20101007700,UON,0027,Kariobangi North - Thika road - Town,3
20104003910,UON,0039,"Bypass Ruiru, City Cabanas",3
20400005311,UON,53,Roasters-Thome-Maruirui,3
20700145D01,UON,145D,Torrents-Membley-Ruiru,3
20701293011,UON,29/30,Ngara-Pangani-Alssops-Drive in-Mathare,3
20702000611,UON,6,Koja-Pangani Flyover-Guru Nanak-Pangani Girls High School-Mlango-Eastleigh,3
20800203001,UON,2030,Allsops-Rounda,3
20801002511,UON,25,Odeon-Pangani-Alssops-Baba Dogo,3
20801025A11,UON,25A,Odeon-Pangani-Alssops-Baba Dogo-Lucky Summer,3
20807042011,UON,42,Allsops-Rounda-Dandora,3
20901043011,UON,43,Bus Station-Pangani-Allsops-Ngumba,3
21000004911,UON,49,Odeon-Pangani-Roysambu-Kasarani-Sunton,3
21000017B11,UON,17B,Bus Station-Pangani-Roysambu-Kasarani-Mwiki,3
21100004411,UON,44G,Odeon-Pangani-Roysambu-Githurai-KU,3
21100004412,UON,44Z,Odeon-Pangani-Roysambu-Zimmerman-KU,3
21100004421,UON,44K,Roysambu-Githurai-KU,3
21200017B12,UON,17B_2,Roysambu-Sunton-Kasarani-Mwiki,3
30000004611,UON,46H,Ronald Ngala-Juja Road-Eastleigh-Huruma,3
30000046B11,UON,46B,Ronald Ngala-Juja Road-Eastleigh-Rounda,3
30007004111,UON,41,Gikomba-Rounda-Dandora,3
30100000711,UON,7,Town-Kariokor DC-Gikomba,3
30100011C11,UON,11C,Odeon-Pangani Flyover-Pangani Girls High School-Mlango-Pangani Terminus,3
30101000311,UON,3N,Gikomba-Kariokor-Ngara,3
30600017A11,UON,17Aky,EastLeigh-Rounda-Umoja 2-Kayole,3
30600018C11,UON,18C,Eastleigh-Rounda-Dandora-Kayole,3
30600186211,UON,16/62,Bus Station-Rounda-Dandora-Kayole,3
30603373812,UON,3738,Rounda-Saika-Ruai,3
30800001411,UON,14,Ronald Ngala-Juja Road-Eastleigh-Huruma-Kariobangi,3
30800002811,UON,28,Gikomba-Eastleigh-Huruma-Kariobangi,3
30907003211,UON,32D,OTC-Kariokor-Mlango-Rounda-Dandora,3
40100003311,UON,33DP,Muthurwa-Donholm-Pipeline,3
40101040501,UON,405,City Stadium-Nyayo Stadium,3
40102040511,UON,69,Muthurwa-Hillocks-GM,3
40200000601,UON,6E,Church Army-Biafra-Joster,3
40201002311,UON,23KS,Gill House-Jogoo Road-Shauri Moyo-Jerusalem-Buruburu-Kariobangi South,3
40301707111,UON,70/71,Muthurwa-Likoni-Sinai-Lunga Lunga,3
40401001011,UON,10,Muthurwa-Makadara-Maringo,3
40403002611,UON,26S,Aquinas-Jerusalem-Outering-Kariobangi,3
40501002611,UON,26,Makadara-Harambee-Outering-Kariobangi,3
40601003611,UON,36,City Stadium-Buruburu-Kwa Mbao-Dandora,3
40601005811,UON,58,Ambassadeur-Jogoo Road-Buruburu,3
40700003311,UON,33DC,Donholm-Rounda-Carbanas,3
40700003411,UON,34J,Ambassadeur-Donholm-Rounda-JKIA,3
40700033C11,UON,33C,Commercial-Jogoo Road-Pipeline-Cabanas,3
