stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
0001RLW,Railways,-1.290884,36.828242,0,
0002KOJ,Koja,-1.28123,36.822596,1,
0003NGR,Ngara,-1.274395,36.823806,1,
0004ODN,Odeon,-1.282769,36.825032,1,
0005AMB,Kencom/Ambassadeur,-1.285963,36.826048,1,
0006BSS,Bus Station,-1.287191,36.828881,1,
0007COM,Commercial,-1.284282,36.826188,1,
0008MUT,Muthurwa,-1.288049,36.833947,1,
0010OTC,OTC,-1.284947,36.830994,1,
0011TUS,Tusker/Ronald Ngala,-1.285346,36.828574,1,
0013ALS,Allsops,-1.244951,36.867888,1,
0014KRA,Kariobangi Round About,-1.262408,36.879051,1,
010044G,44 Githurai,-1.195514202,36.9026953,,
0100AAA,Sahala,-1.206232309,36.79068089,,
0100AAE,Aga Khan Hospital Entrance,-1.26177,36.82218,,
0100ACP,PCEA,-1.184212893,36.90751523,,
0100AEI,Nyari Police,-1.225512028,36.78804159,,
0100AEL,Membley Stage,-1.160296798,36.92236662,,
0100AKA,Chamoka,-1.218550569,36.77443743,,
0100AL2,Lane 26,-1.202838153,36.7692849,,
0100AMY,Kwa Nyama,-1.204494238,36.78601384,,
0100ANJ,Kwa Kiwanja,-1.171676248,36.91650867,,
0100A.P,A.P.,-1.178289056,36.91195965,,
0100APC,PCEA,-1.188633174,36.73722178,,
0100ARG,Arya Girls' Secondary School,-1.26081,36.81997,,
0100ARI,Kwa Daktari,-1.185328692,36.73338085,,
0100ASD,Ambassadors,-1.19794,36.75537,,
0100ASW,Car Wash,-1.204816103,36.78255916,,
0100AWA,Wataalam,-1.149612397,36.94740772,,
0100BKH,Bypass Stage Kiambu,-1.215780973,36.83506072,,
0100BKK,Kabuku,-1.154729247,36.67456269,,
0100BLD,God's Ability,-1.202671891,36.76871896,,
0100CAR,Kwa Machiri,-1.17373082,36.71296388,,
0100CBR,Cooperative Bank Ruaka,-1.20678,36.78464,,
0100CCD,Coca Cola Depot,-1.25983,36.8176,,
0100CHE,Commission Of Higher Education,-1.227579,36.797994,,
0100CHL,Chantilly School,-1.181032,36.762044,,
0100CTC,Christco,-1.19626,36.75305,,
0100CTR,Doctor's Park,-1.261465877,36.82164699,,
0100DPA,Delta Petrol Station Ruaka/Border,-1.208925247,36.78782701,,
0100EIE,Mfereji,-1.203090316,36.77023709,,
0100EIL,Milele,-1.200815767,36.76228434,,
0100EIO,Sovereign,-1.169498205,36.70019388,,
0100ESN,Dispensary,-1.190204948,36.73913687,,
0100GAO,Kahigo,-1.203959316,36.77340478,,
0100GUG,Guango,-1.195629,36.780871,,
0100GVS,Green Valley School,-1.124978,36.677156,,
0100HYD,Shady,-1.19387573,36.74975574,,
0100IKW,Kwa Viti,-1.186262101,36.73443764,,
0100ILL,Milele,-1.204420656,36.77496046,,
0100INT,Nish Raaj Estate,-1.257623434,36.81249261,,
0100ITS,Gwaiti,-1.18686676,36.73514843,,
0100JAK,Jakai,-1.219687,36.77222,,
0100JO.,O.J,-1.152970523,36.92023158,,
0100JOA,Kianjogu,-1.183204383,36.73027486,,
0100JYL,Joyland,-1.204896569,36.77661538,,
0100KCK,Kenchic,-1.132722,36.69801,,
0100KHR,Kahawa Railways Roundabout,-1.186098,36.906817,,
0100KMU,Kwa Sukuma,-1.179068416,36.72405213,,
0100KNA,Kona,-1.221391,36.779214,,
0100KNE,Kwa Njenga,-1.220363742,36.77845538,,
0100KSS,Kwa Shule/Seth Home Of Love Children's Home/Muchatha Dispensary,-1.189608,36.773253,,
0100KTC,Quickmart,-1.206720471,36.78343892,,
0100KWH,Kwa Chief,-1.216485232,36.82175428,,
0100LDL,Redhill,-1.169991821,36.7014733,,
0100LHH,Jamhuri School,-1.27250433,36.82257503,,
0100LIK,Likoni,-1.179095,36.760938,,
0100LMC,Limuru Catering,-1.124471,36.679689,,
0100LPS,Limuru Post Office,-1.118464,36.643126,,
0100LSM,Life Sanctuary/Muchatha,-1.191495,36.775223,,
0100..M,K.M.,-1.167726517,36.91900849,,
0100MCO,Stima Sacco,-1.272774106,36.8208611,,
0100MCY,Mothers Mercys/GD,-1.179957,36.725401,,
0100MFB,Mifereji/God's Ability,-1.20213,36.76693,,
0100MIS,Mary Immaculate Secondary School/Muchatha,-1.190679,36.774297,,
0100MOM,Mombasa,-1.17786,36.760345,,
0100MOU,Mugumo,-1.209636211,36.79986477,,
0100MRB,Maramba Tea Factory,-1.134476,36.703498,,
