route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
10000107D11,DAILY,1107D110,Ruaka,0,1107D110
10000107D11,DAILY,1107D111,Ruiru,1,1107D111
10000114011,DAILY,10114110,Ngara,0,10114110
10000114011,DAILY,10114111,Limuru,1,10114111
10000116011,DAILY,10116110,Koja,0,10116110
10000116011,DAILY,10116111,Limuru,1,10116111
10100011A11,DAILY,1011A110,Odeon,0,1011A110
10100011A11,DAILY,1011A111,Highridge,1,1011A111
10200010811,DAILY,10108110,UNEP,0,10108110
10200010811,DAILY,10108111,Gichagi,1,10108111
10300011F11,DAILY,1011F110,Odeon,0,1011F110
10300011F11,DAILY,1011F111,Ruaka,1,1011F111
10300106011,DAILY,10106110,Koja,0,10106110
10300106011,DAILY,10106111,Banana,1,10106111
10400010711,DAILY,10107110,Odeon,0,10107110
10400010711,DAILY,10107111,Ndenderu,1,10107111
20000002311,DAILY,20023110,Koja,0,20023110
20000002311,DAILY,20023111,Westlands,1,20023111
20000004511,DAILY,20045110,Odeon,0,20045110
20000004511,DAILY,20045111,KU,1,20045111
20000004512,DAILY,20045120,Tusker,0,20045120
20000004512,DAILY,20045121,Githurai,1,20045121
20000004513,DAILY,20045130,Githurai,0,20045130
20000004513,DAILY,20045131,Proggie,1,20045131
20000145011,DAILY,20145110,Tusker,0,20145110
20000145011,DAILY,20145111,Ruiru,1,20145111
20000237011,DAILY,20237110,Tusker,0,20237110
20000237011,DAILY,20237111,Thika,1,20237111
20100010011,DAILY,20100110,Kaka,0,20100110
20100010011,DAILY,20100111,Kiambu,1,20100111
20100012011,DAILY,20120110,Githunguri,0,20120110
20100012011,DAILY,20120111,Kaka,1,20120111
20100012111,DAILY,20121110,Kaka,0,20121110
20100012111,DAILY,20121111,Ndumberi,1,20121111
20100100A11,DAILY,2100A110,Ngara,0,2100A110
20100100A11,DAILY,2100A111,Kiambu Hospital,1,2100A111
20101007700,DAILY,20027111,OTC,1,20027111
20101007700,DAILY,20077110,Kariobangi,0,20077110
20104003910,DAILY,20039110,City Cabanas,0,20039110
20104003910,DAILY,20039111,Bypass Ruiru,1,20039111
20400005311,DAILY,20053110,Roasters,0,20053110
20400005311,DAILY,20053111,Marurui,1,20053111
20700145D01,DAILY,20000720,Torrents,0,20000720
20700145D01,DAILY,20000721,Ruiru,1,20000721
20701293011,DAILY,22930110,Ngara,0,22930110
20701293011,DAILY,22930111,Mathare,1,22930111
